Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_[3, 6, 9, 12];0.5698237458841758;0.7355;0.6421477681981884;0.6149810493827161;0.5926708074534162;0.11914300918579102
SVDD_RBF_0.0005_scale_[3, 6, 9, 12];0.5276279341011809;0.90475;0.6665438806519937;0.599447901234568;0.5501863354037267;0.14965319633483887
SVDD_RBF_0.001_scale_[3, 6, 9, 12];0.5179090029041626;0.93625;0.6669041047101771;0.6039973456790124;0.53527950310559;0.12101340293884277
SVDD_RBF_0.005_scale_[3, 6, 9, 12];0.5243227910934619;0.92425;0.6690797212921908;0.5996226543209876;0.5457142857142857;0.17360258102416992
SVDD_RBF_0.01_scale_[3, 6, 9, 12];0.5183349851337958;0.91525;0.6618457922805748;0.5985716049382716;0.53527950310559;0.12476468086242676
SVDD_RBF_0.05_scale_[3, 6, 9, 12];0.5583110971590017;0.88925;0.6859512101051009;0.6217523456790124;0.5954037267080745;0.15387606620788574
SVDD_RBF_0.1_scale_[3, 6, 9, 12];0.5621143905285977;0.84275;0.6744023206962089;0.6198108024691358;0.5956521739130435;0.1840682029724121
SVDD_RBF_0.2_scale_[3, 6, 9, 12];0.5752668384247331;0.7815;0.6627093491626033;0.5747924074074076;0.60472049689441;0.31131410598754883
SVDD_RBF_0.3_scale_[3, 6, 9, 12];0.5620217478856222;0.69775;0.6225741690832033;0.5536417901234567;0.5796273291925466;0.43480801582336426
SVDD_RBF_0.4_scale_[3, 6, 9, 12];0.5710333926101561;0.7225;0.6378986866791745;0.5515995679012345;0.5924223602484472;0.5286915302276611
SVDD_RBF_0.5_scale_[3, 6, 9, 12];0.5916398713826366;0.506;0.5454790459506804;0.5994672839506174;0.5809937888198757;0.690899133682251
SVDD_RBF_0.6_scale_[3, 6, 9, 12];0.6272378516624041;0.4905;0.5505050505050505;0.6187627160493827;0.6019875776397515;1.676912784576416
SVDD_RBF_0.7_scale_[3, 6, 9, 12];0.6518201284796574;0.3805;0.4805051302288871;0.6314456172839505;0.5911801242236024;1.9956083297729492
SVDD_RBF_0.8_scale_[3, 6, 9, 12];0.6984240687679083;0.24375;0.3613787991104522;0.6366890123456791;0.5719254658385093;3.232553005218506
SVDD_RBF_0.9_scale_[3, 6, 9, 12];0.6353646353646354;0.159;0.2543491301739652;0.6306696913580248;0.5367701863354037;3.0357565879821777
SVDD_RBF_0.0001_auto_[3, 6, 9, 12];0.477124183006536;0.09125;0.15320041972717732;0.6045654320987655;0.49875776397515525;0.44817328453063965
SVDD_RBF_0.0005_auto_[3, 6, 9, 12];0.5684331797235023;0.61675;0.5916067146282974;0.5730492592592593;0.5768944099378882;0.7830386161804199
SVDD_RBF_0.001_auto_[3, 6, 9, 12];0.5659046692607004;0.58175;0.5737179487179487;0.5460588271604938;0.5704347826086956;0.7337720394134521
SVDD_RBF_0.005_auto_[3, 6, 9, 12];0.49889380530973454;0.56375;0.5293427230046949;0.5406977160493827;0.5018633540372671;1.7338147163391113
SVDD_RBF_0.01_auto_[3, 6, 9, 12];0.5241228070175439;0.5975;0.5584112149532711;0.5627820370370371;0.5304347826086957;1.8153035640716553
SVDD_RBF_0.05_auto_[3, 6, 9, 12];0.5458128078817734;0.554;0.5498759305210918;0.5746516666666667;0.5493167701863354;1.5101981163024902
SVDD_RBF_0.1_auto_[3, 6, 9, 12];0.5655816179990426;0.59075;0.5778919051112742;0.5754812345679012;0.5711801242236025;1.0913586616516113
SVDD_RBF_0.2_auto_[3, 6, 9, 12];0.5720245398773006;0.58275;0.5773374613003096;0.5739911111111111;0.5760248447204969;1.6395392417907715
SVDD_RBF_0.3_auto_[3, 6, 9, 12];0.5637906647807638;0.49825;0.5289980092899801;0.565247037037037;0.5591304347826087;1.430199146270752
SVDD_RBF_0.4_auto_[3, 6, 9, 12];0.5836603638958259;0.409;0.48096428046450096;0.586158950617284;0.5613664596273292;1.232764720916748
