Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_;0.9672131147540983;0.10325;0.1865823356674949;0.9663121604938273;0.5526708074534161;0.16033053398132324
SVDD_RBF_0.0005_scale_;0.9744376278118609;0.4765;0.6400268636668905;0.9756656790123457;0.733664596273292;0.3169596195220947
SVDD_RBF_0.001_scale_;0.9743709226467847;0.52275;0.6804425642694436;0.975400925925926;0.7560248447204969;0.40544557571411133
SVDD_RBF_0.005_scale_;0.9748168498168498;0.53225;0.6885510996119018;0.9756492592592593;0.7607453416149068;0.47353148460388184
SVDD_RBF_0.01_scale_;0.9748168498168498;0.53225;0.6885510996119018;0.9755795679012346;0.7607453416149068;0.4883761405944824
SVDD_RBF_0.05_scale_;0.9748053137883647;0.532;0.68833899401585;0.9756038271604938;0.7606211180124224;0.519188642501831
SVDD_RBF_0.1_scale_;0.9748053137883647;0.532;0.68833899401585;0.9755974074074073;0.7606211180124224;0.5161328315734863
SVDD_RBF_0.2_scale_;0.9759433962264151;0.51725;0.6761437908496732;0.9758854938271606;0.7537888198757764;0.4815490245819092
SVDD_RBF_0.3_scale_;0.9773803261441346;0.4645;0.6297237756312489;0.977083086419753;0.7285714285714285;0.5779228210449219
SVDD_RBF_0.4_scale_;0.9814696485623003;0.384;0.5520215633423181;0.9784982716049384;0.6903105590062112;0.6311614513397217
SVDD_RBF_0.5_scale_;0.986400725294651;0.272;0.4264158338232412;0.9793764197530864;0.6363975155279503;0.7813282012939453
SVDD_RBF_0.6_scale_;0.9921875;0.1905;0.3196308724832215;0.9806604320987654;0.5970186335403727;0.935899019241333
SVDD_RBF_0.7_scale_;0.9958847736625515;0.121;0.2157824342398573;0.981994074074074;0.5629813664596274;0.9953176975250244
SVDD_RBF_0.8_scale_;1.0;0.0615;0.11587376354215731;0.9825730864197532;0.5336645962732919;1.1119022369384766
SVDD_RBF_0.9_scale_;1.0;0.0225;0.044009779951100246;0.9827320987654321;0.5142857142857142;1.3088407516479492
SVDD_RBF_0.0001_auto_;0.0;0.0;0.0;0.9523967901234569;0.5031055900621118;0.14614152908325195
SVDD_RBF_0.0005_auto_;0.0;0.0;0.0;0.9523967901234569;0.5031055900621118;0.1580197811126709
SVDD_RBF_0.001_auto_;0.0;0.0;0.0;0.9523967901234569;0.5031055900621118;0.11066603660583496
SVDD_RBF_0.005_auto_;0.0;0.0;0.0;0.9687171604938272;0.5031055900621118;0.09493041038513184
SVDD_RBF_0.01_auto_;0.9697885196374623;0.08025;0.1482336642807666;0.9613161111111109;0.5417391304347826;0.14423775672912598
SVDD_RBF_0.05_auto_;0.9532710280373832;0.6885;0.7995354913630425;0.9691674691358025;0.8284472049689441;0.37392139434814453
SVDD_RBF_0.1_auto_;0.9533098816757275;0.74525;0.8365371123895047;0.9715206790123456;0.8552795031055901;0.47382402420043945
SVDD_RBF_0.2_auto_;0.969449378330373;0.68225;0.8008804108584006;0.976068024691358;0.8314285714285714;0.6577308177947998
SVDD_RBF_0.3_auto_;0.9748533109807209;0.5815;0.7284685248982149;0.975704012345679;0.7845962732919255;0.8684430122375488
SVDD_RBF_0.4_auto_;0.9799618320610687;0.5135;0.6738845144356955;0.9781812345679012;0.7530434782608696;0.7772159576416016
SVDD_RBF_0.5_auto_;0.9846266471449487;0.33625;0.5013045098770034;0.9783032716049382;0.6675776397515528;1.113020420074463
SVDD_RBF_0.6_auto_;0.9905263157894737;0.23525;0.3802020202020202;0.9804794444444445;0.6188819875776398;1.263012170791626
SVDD_RBF_0.7_auto_;0.9935897435897436;0.155;0.2681660899653979;0.9821623456790124;0.5796273291925466;1.7945926189422607
SVDD_RBF_0.8_auto_;0.9974424552429667;0.0975;0.1776360737872922;0.9825312962962963;0.5514285714285714;1.7647972106933594
SVDD_RBF_0.9_auto_;1.0;0.0435;0.08337326305701963;0.982502962962963;0.5247204968944099;2.0566442012786865
SVDD_linear_0.0001_scale_;0.9615384615384616;0.61875;0.7529662306054153;0.9699162345679012;0.7982608695652174;0.1736469268798828
SVDD_linear_0.0005_scale_;0.9519414385741566;0.74775;0.8375805096611593;0.9715623456790125;0.8559006211180125;0.19315719604492188
SVDD_linear_0.001_scale_;0.9510971786833856;0.7585;0.8439499304589708;0.9717911111111113;0.8606211180124224;0.14072608947753906
SVDD_linear_0.005_scale_;0.9509987515605494;0.76175;0.8459189339255969;0.9718655555555555;0.8621118012422361;0.20241236686706543
SVDD_linear_0.01_scale_;0.951310861423221;0.762;0.8461965574680732;0.971898024691358;0.8623602484472049;0.14330291748046875
SVDD_linear_0.05_scale_;0.9515776319900031;0.7615;0.8459936119983335;0.971901851851852;0.8622360248447205;0.27442145347595215
SVDD_linear_0.1_scale_;0.9514563106796117;0.7595;0.8447101348533296;0.9718152469135803;0.8612422360248447;0.18020176887512207
SVDD_linear_0.2_scale_;0.970304114490161;0.678;0.7982339955849891;0.9761901851851852;0.8296894409937888;0.2323291301727295
SVDD_linear_0.3_scale_;0.9753187988482106;0.59275;0.7373658839993781;0.9758487654320988;0.7901863354037267;0.32940030097961426
SVDD_linear_0.4_scale_;0.9798561151079137;0.51075;0.6714872637633524;0.97815487654321;0.7516770186335404;0.2249455451965332
SVDD_linear_0.5_scale_;0.984149855907781;0.3415;0.5070527097253156;0.9783436419753087;0.6700621118012422;0.3613119125366211
SVDD_linear_0.6_scale_;0.9905660377358491;0.23625;0.381509890997174;0.9803105555555557;0.6193788819875776;0.32596802711486816
SVDD_linear_0.7_scale_;0.9920382165605095;0.15575;0.2692307692307692;0.9821040740740741;0.5798757763975155;0.4579792022705078
SVDD_linear_0.8_scale_;0.9975062344139651;0.1;0.1817768688934333;0.9825267283950617;0.5526708074534161;0.4448537826538086
