Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_[3, 6, 9, 12];0.4895641497851443;0.7975;0.606694560669456;0.5495401851851852;0.4862111801242236;0.09077143669128418
SVDD_RBF_0.0005_scale_[3, 6, 9, 12];0.5019470927890426;0.9345;0.6530968812789378;0.5425867901234568;0.5067080745341614;0.10087847709655762
SVDD_RBF_0.001_scale_[3, 6, 9, 12];0.49665738161559886;0.8915;0.6379248658318426;0.5384313580246913;0.49714285714285716;0.11015796661376953
SVDD_RBF_0.005_scale_[3, 6, 9, 12];0.49536777091521617;0.88225;0.6344839985616685;0.5186711728395061;0.49490683229813665;0.11703681945800781
SVDD_RBF_0.01_scale_[3, 6, 9, 12];0.4951226309921962;0.88825;0.6358267716535433;0.5181184567901235;0.49440993788819876;0.11862301826477051
SVDD_RBF_0.05_scale_[3, 6, 9, 12];0.5003560746332432;0.87825;0.6375102077851376;0.5387811111111112;0.5037267080745341;0.17084288597106934
SVDD_RBF_0.1_scale_[3, 6, 9, 12];0.5060187249219795;0.85125;0.6347283064591295;0.573542037037037;0.513167701863354;0.19770193099975586
SVDD_RBF_0.2_scale_[3, 6, 9, 12];0.5068829891838741;0.77325;0.6123539893090477;0.5704170370370371;0.5135403726708074;0.2805771827697754
SVDD_RBF_0.3_scale_[3, 6, 9, 12];0.5134370579915134;0.726;0.6014913007456503;0.5501651851851852;0.5219875776397516;0.40562915802001953
SVDD_RBF_0.4_scale_[3, 6, 9, 12];0.55032021957914;0.6015;0.5747730530339227;0.587643086419753;0.5577639751552795;0.5128264427185059
SVDD_RBF_0.5_scale_[3, 6, 9, 12];0.5476311767702496;0.5375;0.5425182942215493;0.5944411728395063;0.5495652173913044;0.6265976428985596
SVDD_RBF_0.6_scale_[3, 6, 9, 12];0.5469735182849937;0.43375;0.48382598996095927;0.6060225308641976;0.5401242236024845;0.7286174297332764
SVDD_RBF_0.7_scale_[3, 6, 9, 12];0.6076668244202555;0.321;0.42008833633240633;0.6126517901234568;0.5596273291925465;0.8312227725982666
SVDD_RBF_0.8_scale_[3, 6, 9, 12];0.6255049047893826;0.271;0.37816152101866385;0.615485987654321;0.5571428571428572;0.9472591876983643
SVDD_RBF_0.9_scale_[3, 6, 9, 12];0.7216338880484114;0.2385;0.35851183765501693;0.6208566049382716;0.5759006211180124;1.0642516613006592
SVDD_RBF_0.0001_auto_[3, 6, 9, 12];0.5579150579150579;0.36125;0.4385432473444613;0.5597296296296296;0.5403726708074534;0.1982100009918213
SVDD_RBF_0.0005_auto_[3, 6, 9, 12];0.5604579726333426;0.50175;0.5294815987336763;0.564727098765432;0.5568944099378882;0.25810885429382324
SVDD_RBF_0.001_auto_[3, 6, 9, 12];0.463435867672664;0.39925;0.42895514370131616;0.5171741358024691;0.4718012422360248;0.32344675064086914
SVDD_RBF_0.005_auto_[3, 6, 9, 12];0.5495953322040279;0.73;0.6270804252120692;0.556651049382716;0.5685714285714286;0.37102246284484863
SVDD_RBF_0.01_auto_[3, 6, 9, 12];0.5440251572327044;0.73525;0.6253455241335317;0.5655803703703703;0.5622360248447205;0.37783050537109375
SVDD_RBF_0.05_auto_[3, 6, 9, 12];0.5451070336391437;0.713;0.6178509532062391;0.5610837037037038;0.5617391304347826;0.43726086616516113
SVDD_RBF_0.1_auto_[3, 6, 9, 12];0.5332550860719875;0.6815;0.5983318700614574;0.5589730864197531;0.5453416149068323;0.46437621116638184
SVDD_RBF_0.2_auto_[3, 6, 9, 12];0.5659824046920822;0.62725;0.5950432823431757;0.5708874074074074;0.575776397515528;0.5725879669189453
SVDD_RBF_0.3_auto_[3, 6, 9, 12];0.5892336250331477;0.5555;0.5718697722300862;0.5803003703703704;0.5867080745341615;0.6082100868225098
