Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_5_[384, 266, 128]_multiply;0.5993797575415845;0.5315;0.5634026765602227;0.5657179012345679;0.5906832298136646;0.04173922538757324
SVDD_RBF_0.0005_scale_5_[384, 266, 128]_multiply;0.4919515283052993;0.68;0.5708888655682652;0.5133875308641975;0.4920496894409938;0.052016258239746094
SVDD_RBF_0.001_scale_5_[384, 266, 128]_multiply;0.5065570561753768;0.647;0.5682292238445493;0.5558607407407408;0.5114285714285715;0.06214618682861328
SVDD_RBF_0.005_scale_5_[384, 266, 128]_multiply;0.6753246753246753;0.52;0.5875706214689266;0.6460290123456791;0.6372670807453417;0.0684962272644043
SVDD_RBF_0.01_scale_5_[384, 266, 128]_multiply;0.5196226415094339;0.6885;0.592258064516129;0.6138364814814815;0.528944099378882;0.0716254711151123
SVDD_RBF_0.05_scale_5_[384, 266, 128]_multiply;0.4612101813747904;0.7565;0.5730517943376574;0.5105524074074075;0.4398757763975155;0.05975985527038574
SVDD_RBF_0.1_scale_5_[384, 266, 128]_multiply;0.4914001421464108;0.86425;0.6265518803806072;0.6221245061728395;0.48807453416149066;0.06361055374145508
SVDD_RBF_0.2_scale_5_[384, 266, 128]_multiply;0.4981368563685637;0.73525;0.5939014539579967;0.584520061728395;0.5003726708074534;0.09489083290100098
SVDD_RBF_0.3_scale_5_[384, 266, 128]_multiply;0.5123393840505813;0.628;0.5643041671346738;0.5379294444444445;0.5181366459627329;0.12901830673217773
SVDD_RBF_0.4_scale_5_[384, 266, 128]_multiply;0.41841004184100417;0.55;0.47526463599049473;0.3977216049382716;0.39652173913043476;0.15855097770690918
SVDD_RBF_0.5_scale_5_[384, 266, 128]_multiply;0.401697944593387;0.4495;0.42425672487022176;0.3750853703703704;0.3937888198757764;0.1777198314666748
SVDD_RBF_0.6_scale_5_[384, 266, 128]_multiply;0.4294117647058823;0.365;0.39459459459459456;0.3808663580246914;0.4434782608695652;0.20442771911621094
SVDD_RBF_0.7_scale_5_[384, 266, 128]_multiply;0.469678953626635;0.29625;0.36332975624712555;0.3997011111111111;0.48409937888198756;0.24291634559631348
SVDD_RBF_0.8_scale_5_[384, 266, 128]_multiply;0.4675990675990676;0.25075;0.3264442636289666;0.4095444444444445;0.4858385093167702;0.26717686653137207
SVDD_RBF_0.9_scale_5_[384, 266, 128]_multiply;0.4346629986244842;0.158;0.23175650898423175;0.41790876543209876;0.4795031055900621;0.2789177894592285
SVDD_RBF_0.0001_auto_5_[384, 266, 128]_multiply;0.7096876991714468;0.55675;0.6239843093303447;0.7185079012345679;0.666583850931677;0.03673052787780762
SVDD_RBF_0.0005_auto_5_[384, 266, 128]_multiply;0.7833865814696486;0.3065;0.44061096136567834;0.6999257407407408;0.6132919254658385;0.0439453125
SVDD_RBF_0.001_auto_5_[384, 266, 128]_multiply;0.5741789354473387;0.63375;0.6024955436720143;0.6075210493827161;0.584472049689441;0.05510115623474121
SVDD_RBF_0.005_auto_5_[384, 266, 128]_multiply;0.48383521152780345;0.65475;0.5564644640390949;0.5516594444444445;0.4813664596273292;0.05752396583557129
SVDD_RBF_0.01_auto_5_[384, 266, 128]_multiply;0.5214273220220396;0.74525;0.6135638571575589;0.6331724074074074;0.5335403726708075;0.06290793418884277
SVDD_RBF_0.05_auto_5_[384, 266, 128]_multiply;0.4758555390234005;0.8795;0.6175721934521198;0.5856482716049383;0.4587577639751553;0.05196046829223633
SVDD_RBF_0.1_auto_5_[384, 266, 128]_multiply;0.49705749207786326;0.8235;0.6199303660487437;0.6501861111111111;0.49826086956521737;0.06559419631958008
SVDD_RBF_0.2_auto_5_[384, 266, 128]_multiply;0.4641014300457025;0.787;0.5838820365389966;0.6122226543209877;0.4426086956521739;0.09622359275817871
SVDD_RBF_0.3_auto_5_[384, 266, 128]_multiply;0.4474451434709222;0.729;0.5545307597223542;0.5079569753086419;0.41801242236024844;0.12874436378479004
SVDD_RBF_0.4_auto_5_[384, 266, 128]_multiply;0.39807915217751283;0.601;0.47893216455822285;0.38459981481481487;0.35018633540372673;0.14859604835510254
SVDD_RBF_0.5_auto_5_[384, 266, 128]_multiply;0.4040627069993376;0.4575;0.4291241646148435;0.35775438271604937;0.3951552795031056;0.17266392707824707
SVDD_RBF_0.6_auto_5_[384, 266, 128]_multiply;0.42443543717429066;0.3665;0.39334585457472493;0.3794845679012346;0.43826086956521737;0.21699905395507812
SVDD_RBF_0.7_auto_5_[384, 266, 128]_multiply;0.4624624624624625;0.308;0.3697478991596639;0.3948368518518518;0.4782608695652174;0.23846960067749023
SVDD_RBF_0.8_auto_5_[384, 266, 128]_multiply;0.46056338028169014;0.24525;0.32006525285481235;0.4055491358024691;0.4822360248447205;0.26288366317749023
SVDD_RBF_0.9_auto_5_[384, 266, 128]_multiply;0.4269449715370019;0.16875;0.2418921340261602;0.41221456790123456;0.47440993788819874;0.28943657875061035
SVDD_linear_0.0001_scale_5_[384, 266, 128]_multiply;0.4958924570575056;0.996;0.662123982050856;0.305167962962963;0.49490683229813665;0.024777889251708984
SVDD_linear_0.0005_scale_5_[384, 266, 128]_multiply;0.4958924570575056;0.996;0.662123982050856;0.305167962962963;0.49490683229813665;0.024411678314208984
SVDD_linear_0.001_scale_5_[384, 266, 128]_multiply;0.4958924570575056;0.996;0.662123982050856;0.305167962962963;0.49490683229813665;0.0243375301361084
SVDD_linear_0.005_scale_5_[384, 266, 128]_multiply;0.4958924570575056;0.996;0.662123982050856;0.305167962962963;0.49490683229813665;0.02478337287902832
SVDD_linear_0.01_scale_5_[384, 266, 128]_multiply;0.4958924570575056;0.996;0.662123982050856;0.305167962962963;0.49490683229813665;0.02498602867126465
SVDD_linear_0.05_scale_5_[384, 266, 128]_multiply;0.49056603773584906;0.975;0.6527196652719666;0.2838206172839506;0.484472049689441;0.028348684310913086
SVDD_linear_0.1_scale_5_[384, 266, 128]_multiply;0.48115867726224043;0.9385;0.6361633621420099;0.28511722222222224;0.46658385093167704;0.03299713134765625
SVDD_linear_0.2_scale_5_[384, 266, 128]_multiply;0.45961487028617276;0.85925;0.5988848231399198;0.28202283950617285;0.42807453416149066;0.04015493392944336
SVDD_linear_0.3_scale_5_[384, 266, 128]_multiply;0.41540940383770325;0.709;0.5238754964440749;0.2707764197530864;0.3596273291925466;0.05958437919616699
SVDD_linear_0.4_scale_5_[384, 266, 128]_multiply;0.39450257691707014;0.6315;0.4856291454388157;0.277944012345679;0.33527950310559007;0.06228923797607422
SVDD_linear_0.5_scale_5_[384, 266, 128]_multiply;0.38425339366515837;0.53075;0.4457742782152231;0.312278024691358;0.34422360248447204;0.08429431915283203
