Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_;0.5140696447414703;0.73075;0.6035515176543466;0.5137888888888889;0.5229813664596273;0.03202462196350098
SVDD_RBF_0.0005_scale_;0.5211933244720129;0.88225;0.6552780614613313;0.5952732716049383;0.5387577639751553;0.031488656997680664
SVDD_RBF_0.001_scale_;0.5211933244720129;0.88225;0.6552780614613313;0.5952732716049383;0.5387577639751553;0.031488895416259766
SVDD_RBF_0.005_scale_;0.5285651984300044;0.909;0.6684437907895947;0.600645864197531;0.5519254658385093;0.05271625518798828
SVDD_RBF_0.01_scale_;0.5237609329446065;0.89825;0.661694290976059;0.6011637037037036;0.5436024844720497;0.04838156700134277
SVDD_RBF_0.05_scale_;0.532292298362644;0.87775;0.6627029067572668;0.6111333950617284;0.5560248447204968;0.05370497703552246
SVDD_RBF_0.1_scale_;0.5284605433376456;0.817;0.6417910447761194;0.6116841358024692;0.5468322981366459;0.06742405891418457
SVDD_RBF_0.2_scale_;0.5495391705069125;0.7155;0.6216333622936577;0.586267037037037;0.5672049689440993;0.0846395492553711
SVDD_RBF_0.3_scale_;0.5881439295884028;0.568;0.5778964771715629;0.5951204938271605;0.5877018633540373;0.1029815673828125
SVDD_RBF_0.4_scale_;0.5650705954573357;0.46025;0.5073022871314412;0.6127084567901235;0.555776397515528;0.12541794776916504
SVDD_RBF_0.5_scale_;0.6012847965738758;0.351;0.4432517758484609;0.6297765432098765;0.5618633540372671;0.1419370174407959
SVDD_RBF_0.6_scale_;0.673614920460779;0.307;0.42177571698437233;0.6359508024691358;0.5817391304347826;0.16128969192504883
SVDD_RBF_0.7_scale_;0.7709923664122137;0.2525;0.3804143126177024;0.6431595061728395;0.591304347826087;0.1815943717956543
SVDD_RBF_0.8_scale_;0.7831858407079646;0.13275;0.22702009405728946;0.6433840123456791;0.5508074534161491;0.20041227340698242
SVDD_RBF_0.9_scale_;0.7891373801916933;0.1235;0.21357544314742755;0.639335;0.5480745341614907;0.2197856903076172
SVDD_RBF_0.0001_auto_;0.0;0.0;0.0;0.582815185185185;0.5031055900621118;0.0629279613494873
SVDD_RBF_0.0005_auto_;0.4448818897637795;0.08475;0.14237715245695087;0.5876013580246913;0.4926708074534161;0.11989045143127441
SVDD_RBF_0.001_auto_;0.48973143759873616;0.2325;0.31530767926767245;0.5713256790123455;0.49826086956521737;0.11926960945129395
SVDD_RBF_0.005_auto_;0.6274864376130199;0.347;0.4468770122343851;0.6110892283950617;0.5731677018633541;0.12239694595336914
SVDD_RBF_0.01_auto_;0.6547619047619048;0.20625;0.31368821292775667;0.6126705246913581;0.5515527950310559;0.12356352806091309
SVDD_RBF_0.05_auto_;0.6237541528239202;0.3755;0.46878901373283394;0.6018048765432098;0.5771428571428572;0.12486648559570312
SVDD_RBF_0.1_auto_;0.5956840390879479;0.36575;0.45322180916976457;0.600466049382716;0.5614906832298137;0.1254727840423584
SVDD_RBF_0.2_auto_;0.6006806579693704;0.26475;0.36751691827173344;0.6117401851851852;0.5472049689440994;0.13226652145385742
SVDD_RBF_0.3_auto_;0.5855263157894737;0.3115;0.4066579634464752;0.597888611111111;0.5483229813664596;0.13944172859191895
SVDD_RBF_0.4_auto_;0.49684400360685305;0.13775;0.21569778821687222;0.5878158950617284;0.5022360248447205;0.15962719917297363
SVDD_RBF_0.5_auto_;0.5692771084337349;0.14175;0.22698158526821455;0.6010811111111112;0.520248447204969;0.1679847240447998
SVDD_RBF_0.6_auto_;0.4863013698630137;0.05325;0.09598918431726003;0.598118086419753;0.5016149068322981;0.1828017234802246
SVDD_RBF_0.7_auto_;0.6604395604395604;0.15025;0.24480651731160896;0.6068183641975309;0.5393788819875777;0.1955564022064209
SVDD_RBF_0.8_auto_;0.6655896607431341;0.103;0.17839359168651223;0.605104012345679;0.5285714285714286;0.20650267601013184
SVDD_RBF_0.9_auto_;0.0;0.0;0.0;0.6051208641975308;0.5031055900621118;0.2258472442626953
SVDD_linear_0.0001_scale_;0.5095800524934383;0.97075;0.6683304647160068;0.591720987654321;0.5212422360248448;0.037384033203125
SVDD_linear_0.0005_scale_;0.5095800524934383;0.97075;0.6683304647160068;0.591720987654321;0.5212422360248448;0.037644147872924805
SVDD_linear_0.001_scale_;0.5095800524934383;0.97075;0.6683304647160068;0.591720987654321;0.5212422360248448;0.037432193756103516
SVDD_linear_0.005_scale_;0.5095800524934383;0.97075;0.6683304647160068;0.591720987654321;0.5212422360248448;0.03730177879333496
SVDD_linear_0.01_scale_;0.5089028541503011;0.97175;0.6679841897233201;0.591733950617284;0.52;0.0374448299407959
SVDD_linear_0.05_scale_;0.5193941109852774;0.91725;0.663232104121475;0.595147098765432;0.5371428571428571;0.041351318359375
SVDD_linear_0.1_scale_;0.5409969150836175;0.833;0.6559700757948618;0.5896422222222222;0.5658385093167702;0.04407501220703125
SVDD_linear_0.2_scale_;0.5771144278606966;0.754;0.653804465640581;0.5898116666666666;0.6032298136645963;0.04978656768798828
SVDD_linear_0.3_scale_;0.5916798553018313;0.65425;0.6213938026831295;0.593371049382716;0.6038509316770186;0.0561673641204834
SVDD_linear_0.4_scale_;0.6036262906069;0.59925;0.601430184418517;0.6148835185185184;0.6053416149068322;0.062375545501708984
SVDD_linear_0.5_scale_;0.5898718349484214;0.47175;0.5242394777052368;0.6177287654320988;0.5745341614906833;0.06870031356811523
SVDD_linear_0.6_scale_;0.5753480753480753;0.35125;0.4361999379074821;0.623406975308642;0.5488198757763976;0.07519292831420898
SVDD_linear_0.7_scale_;0.6029556650246305;0.306;0.4059701492537313;0.6267921604938271;0.5550310559006211;0.08060431480407715
SVDD_linear_0.8_scale_;0.6111702127659574;0.28725;0.3908163265306122;0.6306835185185186;0.5550310559006211;0.0870504379272461
SVDD_linear_0.9_scale_;0.7104294478527607;0.14475;0.2404984423676012;0.631191913580247;0.5457142857142857;0.09210515022277832
SVDD_linear_0.0001_auto_;0.5095800524934383;0.97075;0.6683304647160068;0.591720987654321;0.5212422360248448;0.03625774383544922
SVDD_linear_0.0005_auto_;0.5095800524934383;0.97075;0.6683304647160068;0.591720987654321;0.5212422360248448;0.03651165962219238
SVDD_linear_0.001_auto_;0.5095800524934383;0.97075;0.6683304647160068;0.591720987654321;0.5212422360248448;0.03620100021362305
SVDD_linear_0.005_auto_;0.5095800524934383;0.97075;0.6683304647160068;0.591720987654321;0.5212422360248448;0.0362699031829834
SVDD_linear_0.01_auto_;0.5089028541503011;0.97175;0.6679841897233201;0.591733950617284;0.52;0.03660893440246582
SVDD_linear_0.05_auto_;0.5193941109852774;0.91725;0.663232104121475;0.595147098765432;0.5371428571428571;0.04289102554321289
SVDD_linear_0.1_auto_;0.5409969150836175;0.833;0.6559700757948618;0.5896422222222222;0.5658385093167702;0.04669046401977539
SVDD_linear_0.2_auto_;0.5771144278606966;0.754;0.653804465640581;0.5898116666666666;0.6032298136645963;0.053519487380981445
SVDD_linear_0.3_auto_;0.5916798553018313;0.65425;0.6213938026831295;0.593371049382716;0.6038509316770186;0.061675071716308594
SVDD_linear_0.4_auto_;0.6036262906069;0.59925;0.601430184418517;0.6148835185185184;0.6053416149068322;0.06652140617370605
SVDD_linear_0.5_auto_;0.5898718349484214;0.47175;0.5242394777052368;0.6177287654320988;0.5745341614906833;0.07205653190612793
SVDD_linear_0.6_auto_;0.5753480753480753;0.35125;0.4361999379074821;0.623406975308642;0.5488198757763976;0.08171629905700684
SVDD_linear_0.7_auto_;0.6029556650246305;0.306;0.4059701492537313;0.6267921604938271;0.5550310559006211;0.08826160430908203
SVDD_linear_0.8_auto_;0.6111702127659574;0.28725;0.3908163265306122;0.6306835185185186;0.5550310559006211;0.09548258781433105
SVDD_linear_0.9_auto_;0.7104294478527607;0.14475;0.2404984423676012;0.631191913580247;0.5457142857142857;0.09443259239196777
SVDD_sigmoid_0.0001_scale_;0.5035360678925035;0.712;0.5898922949461475;0.5459838888888889;0.5080745341614907;0.04516768455505371
SVDD_sigmoid_0.0005_scale_;0.5326340326340326;0.914;0.6730486008836524;0.5804203086419752;0.5587577639751553;0.04309797286987305
SVDD_sigmoid_0.001_scale_;0.5326340326340326;0.914;0.6730486008836524;0.5804203086419752;0.5587577639751553;0.043669700622558594
SVDD_sigmoid_0.005_scale_;0.5145776566757493;0.94425;0.6661375661375661;0.5816908641975308;0.5296894409937888;0.04314303398132324
SVDD_sigmoid_0.01_scale_;0.5071801566579635;0.97125;0.6663807890222985;0.5815940740740739;0.5167701863354037;0.043074607849121094
SVDD_sigmoid_0.05_scale_;0.5184460592509782;0.9275;0.6651129437074221;0.581268024691358;0.5359006211180124;0.050612449645996094
SVDD_sigmoid_0.1_scale_;0.5461749959566553;0.84425;0.6632622999116174;0.5811912345679012;0.5740372670807453;0.05865311622619629
SVDD_sigmoid_0.2_scale_;0.5685307017543859;0.77775;0.656883445945946;0.5824040740740741;0.5962732919254659;0.07374143600463867
SVDD_sigmoid_0.3_scale_;0.5958702064896755;0.6565;0.6247174973236588;0.5791862962962964;0.6080745341614907;0.09184956550598145
SVDD_sigmoid_0.4_scale_;0.5964435663126698;0.60375;0.6000745434215431;0.5883546296296296;0.6001242236024845;0.10732221603393555
SVDD_sigmoid_0.5_scale_;0.5992871690427699;0.5885;0.5938446014127144;0.6055643827160493;0.6;0.12297487258911133
SVDD_sigmoid_0.6_scale_;0.5943627450980392;0.485;0.5341409691629956;0.6130354938271605;0.5796273291925466;0.14686036109924316
SVDD_sigmoid_0.7_scale_;0.5714285714285714;0.338;0.4247565190072259;0.6184972222222221;0.5450931677018633;0.16478180885314941
SVDD_sigmoid_0.8_scale_;0.5706984667802385;0.25125;0.3488977608054157;0.6116016666666666;0.5340372670807454;0.18083643913269043
SVDD_sigmoid_0.9_scale_;0.6283950617283951;0.12725;0.21164241164241165;0.6076214814814814;0.528944099378882;0.20187735557556152
SVDD_sigmoid_0.0001_auto_;0.489432703003337;0.22;0.3035529492928596;0.4961208641975309;0.49838509316770185;0.037923336029052734
SVDD_sigmoid_0.0005_auto_;0.489432703003337;0.22;0.3035529492928596;0.4961208641975309;0.49838509316770185;0.03819394111633301
SVDD_sigmoid_0.001_auto_;0.489432703003337;0.22;0.3035529492928596;0.4961208641975309;0.49838509316770185;0.03764081001281738
SVDD_sigmoid_0.005_auto_;0.489432703003337;0.22;0.3035529492928596;0.4961208641975309;0.49838509316770185;0.03808474540710449
