Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_;0.539123138242081;0.6425;0.5862894946960191;0.5592093827160494;0.5494409937888198;0.08259248733520508
SVDD_RBF_0.0005_scale_;0.514018691588785;0.64625;0.5725994019271237;0.5179362962962963;0.5206211180124224;0.11311769485473633
SVDD_RBF_0.001_scale_;0.5392320534223706;0.88825;0.6710737557843045;0.5145905555555556;0.5673291925465839;0.11442708969116211
SVDD_RBF_0.005_scale_;0.5297157622739018;0.9225;0.6729892394674448;0.5157029629629629;0.5545341614906832;0.12226581573486328
SVDD_RBF_0.01_scale_;0.5282909930715936;0.915;0.6698389458272328;0.518145864197531;0.5518012422360249;0.15033674240112305
SVDD_RBF_0.05_scale_;0.5287707061900611;0.90975;0.6688108803528763;0.5178818518518519;0.5522981366459627;0.13905072212219238
SVDD_RBF_0.1_scale_;0.511092577147623;0.766;0.6131065532766383;0.5243550617283951;0.5196273291925466;0.25408935546875
SVDD_RBF_0.2_scale_;0.5392385392385393;0.8675;0.6650694777192142;0.5573447530864197;0.5658385093167702;0.28371620178222656
SVDD_RBF_0.3_scale_;0.5743785084202085;0.71625;0.6375166889185582;0.6256583333333333;0.5952795031055901;0.36314916610717773
SVDD_RBF_0.4_scale_;0.5915588835942818;0.65175;0.6201974545022005;0.6247676543209877;0.6033540372670807;0.44673919677734375
SVDD_RBF_0.5_scale_;0.5981087470449172;0.56925;0.5833226591520431;0.621016851851852;0.5959006211180125;0.567497968673706
SVDD_RBF_0.6_scale_;0.5733685401735195;0.38;0.4570741241918509;0.6221874691358026;0.5514285714285714;0.6334695816040039
SVDD_RBF_0.7_scale_;0.5574282147315855;0.22325;0.3188147090324884;0.6143694444444444;0.5259627329192547;0.7784957885742188
SVDD_RBF_0.8_scale_;0.5704225352112676;0.14175;0.22707248698438126;0.6059711728395062;0.5204968944099378;0.9240975379943848
SVDD_RBF_0.9_scale_;0.5541561712846348;0.055;0.10006822833750284;0.5999861111111111;0.5084472049689441;1.0958330631256104
SVDD_RBF_0.0001_auto_;0.46977730646871685;0.11075;0.17924337446894598;0.5619478395061729;0.4960248447204969;0.18078827857971191
SVDD_RBF_0.0005_auto_;0.562183455261677;0.4995;0.5289912629070691;0.5873368518518519;0.5580124223602484;0.22088098526000977
SVDD_RBF_0.001_auto_;0.5450774336283186;0.49275;0.5175945378151261;0.5773248765432099;0.5436024844720497;0.2644767761230469
SVDD_RBF_0.005_auto_;0.5203296703296704;0.4735;0.49581151832460735;0.5689759259259259;0.5214906832298136;0.3027496337890625
SVDD_RBF_0.01_auto_;0.5217979962090441;0.48175;0.5009749122578967;0.5697448148148148;0.5231055900621118;0.32781529426574707
SVDD_RBF_0.05_auto_;0.5265108323831242;0.46175;0.49200852424080976;0.5749743827160494;0.5262111801242236;0.38353586196899414
SVDD_RBF_0.1_auto_;0.5375242315148159;0.48525;0.5100512416239654;0.5761661111111112;0.5367701863354037;0.35221147537231445
SVDD_RBF_0.2_auto_;0.5238240684178375;0.42875;0.4715424800659884;0.5770013580246914;0.5224844720496894;0.4004342555999756
SVDD_RBF_0.3_auto_;0.5635658914728682;0.3635;0.44194528875379935;0.5993441975308642;0.5438509316770186;0.45596766471862793
SVDD_RBF_0.4_auto_;0.6066770996348461;0.29075;0.39310461382457323;0.6124358024691358;0.5539130434782609;0.5986437797546387
SVDD_RBF_0.5_auto_;0.6173808086904043;0.25575;0.36167579989393667;0.6101158024691358;0.5514285714285714;0.6355645656585693
SVDD_RBF_0.6_auto_;0.644620811287478;0.18275;0.2847682119205298;0.6098908641975309;0.5438509316770186;0.7271430492401123
