Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5124361158432709;0.752;0.6095238095238096;0.5444143827160494;0.5212422360248448;0.16775274276733398
SVDD_RBF_0.0005_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.512901454844908;0.93425;0.6622363990785043;0.6182193827160494;0.5264596273291925;0.19321560859680176
SVDD_RBF_0.001_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5120701281186784;0.94925;0.6652650021901007;0.5842896913580247;0.5253416149068323;0.14728617668151855
SVDD_RBF_0.005_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5126412049488973;0.953;0.6666666666666667;0.5884471604938272;0.5264596273291925;0.08935046195983887
SVDD_RBF_0.01_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5131897711978466;0.95325;0.6671916010498687;0.593656975308642;0.5274534161490684;0.15874791145324707
SVDD_RBF_0.05_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5141561297416163;0.93525;0.6635331677899965;0.625247037037037;0.528695652173913;0.08183097839355469
SVDD_RBF_0.1_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5186572755881912;0.86525;0.6485524219994377;0.6045087037037037;0.5340372670807454;0.18064546585083008
SVDD_RBF_0.2_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5723646174600115;0.7425;0.6464250734573947;0.6394616666666666;0.5963975155279503;0.3491940498352051
SVDD_RBF_0.3_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5876129601057968;0.6665;0.6245753777673656;0.6463611111111112;0.6018633540372671;0.35764074325561523
SVDD_RBF_0.4_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.6162790697674418;0.62275;0.619497637403631;0.6621305555555556;0.6198757763975156;0.688544511795044
SVDD_RBF_0.5_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.6380077082715684;0.538;0.5837515258375153;0.6671855555555555;0.6187577639751553;0.6632394790649414
SVDD_RBF_0.6_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.6604142243063696;0.4225;0.5153224576917212;0.6750731481481481;0.6050931677018634;1.234724760055542
SVDD_RBF_0.7_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.686358754027927;0.3195;0.436028659160696;0.675488024691358;0.5893167701863354;1.1895973682403564
SVDD_RBF_0.8_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.7295469912102772;0.26975;0.3938674940682606;0.6779687654320987;0.5874534161490683;1.5067121982574463
SVDD_RBF_0.9_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.7881705639614855;0.14325;0.24243706367675058;0.6845006790123456;0.5551552795031056;1.378680944442749
SVDD_RBF_0.0001_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.608843537414966;0.58175;0.5949884939913065;0.6468821604938272;0.6064596273291926;0.12407374382019043
SVDD_RBF_0.0005_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.6025299600532623;0.67875;0.6383729132377145;0.6710038888888888;0.617888198757764;0.1834392547607422
SVDD_RBF_0.001_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.5925437770664658;0.78675;0.6759746536354848;0.6908204320987654;0.6252173913043478;0.337721586227417
SVDD_RBF_0.005_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.5865860362836723;0.80025;0.6769588664481337;0.6830925925925926;0.6204968944099379;0.1797029972076416
SVDD_RBF_0.01_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.5874886672710788;0.81;0.6810299527062532;0.6829676543209877;0.6229813664596273;0.20542383193969727
SVDD_RBF_0.05_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.5864688856729378;0.8105;0.6805205709487825;0.6826034567901236;0.6218633540372671;0.28699350357055664
SVDD_RBF_0.1_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.586238198983297;0.80725;0.6792175010517459;0.6821308641975309;0.6211180124223602;0.35391855239868164
SVDD_RBF_0.2_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.5997464074387151;0.7095;0.6500229042601924;0.670566975308642;0.6203726708074534;0.2912888526916504
SVDD_RBF_0.3_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.631441957313899;0.6065;0.6187197143585821;0.6720517901234568;0.6285714285714286;0.43617749214172363
SVDD_RBF_0.4_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.6243093922651933;0.5085;0.5604849820887297;0.6628981481481482;0.6037267080745342;0.271317720413208
SVDD_RBF_0.5_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.6379737867516826;0.45025;0.5279202696760955;0.6699104320987654;0.5998757763975155;0.3306560516357422
SVDD_RBF_0.6_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.6712983065566652;0.3865;0.4905600507694749;0.6747675925925926;0.6011180124223603;0.4133799076080322
SVDD_RBF_0.7_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.6920152091254753;0.3185;0.43622667351480904;0.6746158641975308;0.5909316770186336;0.4057474136352539
SVDD_RBF_0.8_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.7394429469901168;0.20575;0.3219245061607667;0.6771576543209876;0.5693167701863354;0.45121288299560547
SVDD_RBF_0.9_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.7474048442906575;0.108;0.18872870249017037;0.6773475308641975;0.5386335403726709;0.503260612487793
SVDD_linear_0.0001_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.49763328350772296;0.99875;0.6642833388759561;0.44135271604938264;0.49838509316770185;0.0281980037689209
SVDD_linear_0.0005_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.49763328350772296;0.99875;0.6642833388759561;0.44135271604938264;0.49838509316770185;0.027977466583251953
