Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_5_[384, 266, 128];0.49664929262844376;0.83375;0.6224918338777414;0.6129358024691358;0.49751552795031057;0.05972433090209961
SVDD_RBF_0.0005_scale_5_[384, 266, 128];0.5020349218852567;0.956;0.6583455281053628;0.5368238271604939;0.5069565217391304;0.055907249450683594
SVDD_RBF_0.001_scale_5_[384, 266, 128];0.5020349218852567;0.956;0.6583455281053628;0.5368238271604939;0.5069565217391304;0.05600309371948242
SVDD_RBF_0.005_scale_5_[384, 266, 128];0.5015054326482524;0.95775;0.6583039780049833;0.5436262345679013;0.5059627329192546;0.05747103691101074
SVDD_RBF_0.01_scale_5_[384, 266, 128];0.5013738060970823;0.958;0.6582495920295456;0.5431498148148148;0.5057142857142857;0.056234121322631836
SVDD_RBF_0.05_scale_5_[384, 266, 128];0.5061975209916033;0.9495;0.6603494740502477;0.4525201851851852;0.5146583850931677;0.06744861602783203
SVDD_RBF_0.1_scale_5_[384, 266, 128];0.5058759962177496;0.93625;0.6568446899938614;0.4547617283950617;0.5139130434782608;0.07457113265991211
SVDD_RBF_0.2_scale_5_[384, 266, 128];0.5453167115902965;0.80925;0.6515700483091786;0.6487396913580246;0.5699378881987578;0.12210226058959961
SVDD_RBF_0.3_scale_5_[384, 266, 128];0.5975733063700708;0.73875;0.6607043040804919;0.6679882098765431;0.6229813664596273;0.23364734649658203
SVDD_RBF_0.4_scale_5_[384, 266, 128];0.6296631245760795;0.69625;0.6612845779413511;0.6871930864197531;0.6455900621118013;0.20279717445373535
SVDD_RBF_0.5_scale_5_[384, 266, 128];0.6514021095960896;0.633;0.6420692278432865;0.6884342592592593;0.6493167701863354;0.2521347999572754
SVDD_RBF_0.6_scale_5_[384, 266, 128];0.6910789632308619;0.57325;0.6266739546324132;0.6973580246913581;0.6606211180124224;0.29777026176452637
SVDD_RBF_0.7_scale_5_[384, 266, 128];0.7082748948106592;0.505;0.5896088733216579;0.7030491975308641;0.6506832298136646;0.37119460105895996
SVDD_RBF_0.8_scale_5_[384, 266, 128];0.7105930055752661;0.3505;0.4694458396115854;0.6950057407407407;0.606335403726708;0.42485833168029785
SVDD_RBF_0.9_scale_5_[384, 266, 128];0.7567067530064755;0.2045;0.32198386144459745;0.6994523456790124;0.5720496894409938;0.4592771530151367
SVDD_RBF_0.0001_auto_5_[384, 266, 128];0.6833691976636951;0.55575;0.612987729215497;0.6710498148148148;0.6513043478260869;0.0696871280670166
SVDD_RBF_0.0005_auto_5_[384, 266, 128];0.6062955132722575;0.64525;0.6251665253724114;0.6453217283950617;0.615527950310559;0.09729290008544922
SVDD_RBF_0.001_auto_5_[384, 266, 128];0.597679718251502;0.72125;0.65367622068653;0.6731712962962964;0.620248447204969;0.09661579132080078
SVDD_RBF_0.005_auto_5_[384, 266, 128];0.5887062789717658;0.6985;0.6389206494397439;0.6644833950617284;0.6077018633540373;0.09976601600646973
SVDD_RBF_0.01_auto_5_[384, 266, 128];0.5891522528293829;0.68975;0.6354946447080503;0.6617512345679013;0.606832298136646;0.10338044166564941
SVDD_RBF_0.05_auto_5_[384, 266, 128];0.5875850340136054;0.691;0.6351102941176471;0.6627626543209877;0.6054658385093168;0.10248661041259766
SVDD_RBF_0.1_auto_5_[384, 266, 128];0.5889387144992526;0.6895;0.635264309570425;0.6632844444444446;0.606583850931677;0.10868000984191895
SVDD_RBF_0.2_auto_5_[384, 266, 128];0.6312407315867523;0.6385;0.6348496147153866;0.6794975925925925;0.6350310559006211;0.15489435195922852
SVDD_RBF_0.3_auto_5_[384, 266, 128];0.6622652582159625;0.56425;0.6093412526997841;0.6841637037037037;0.6404968944099378;0.1804490089416504
SVDD_RBF_0.4_auto_5_[384, 266, 128];0.6951510333863276;0.43725;0.5368324125230202;0.6842846296296297;0.6250931677018634;0.2311856746673584
SVDD_RBF_0.5_auto_5_[384, 266, 128];0.7054054054054054;0.3915;0.5035369774919614;0.6900098765432099;0.6163975155279503;0.27334046363830566
SVDD_RBF_0.6_auto_5_[384, 266, 128];0.6934731934731935;0.2975;0.41637508747375784;0.6897652469135803;0.5855900621118012;0.31688737869262695
SVDD_RBF_0.7_auto_5_[384, 266, 128];0.6972612879348631;0.2355;0.35208372266866006;0.6968158641975308;0.5693167701863354;0.36845922470092773
SVDD_RBF_0.8_auto_5_[384, 266, 128];0.752714113389626;0.156;0.2584386001242493;0.6955830864197532;0.5551552795031056;0.41596126556396484
SVDD_RBF_0.9_auto_5_[384, 266, 128];0.6525821596244131;0.03475;0.06598623308806077;0.6915745679012346;0.5111801242236025;0.5910446643829346
SVDD_linear_0.0001_scale_5_[384, 266, 128];0.4981287425149701;0.99825;0.6646138482023969;0.4293802469135803;0.4993788819875776;0.03315329551696777
SVDD_linear_0.0005_scale_5_[384, 266, 128];0.4981287425149701;0.99825;0.6646138482023969;0.4293802469135803;0.4993788819875776;0.02443218231201172
SVDD_linear_0.001_scale_5_[384, 266, 128];0.4981287425149701;0.99825;0.6646138482023969;0.4293802469135803;0.4993788819875776;0.02239084243774414
SVDD_linear_0.005_scale_5_[384, 266, 128];0.4981287425149701;0.99825;0.6646138482023969;0.4293802469135803;0.4993788819875776;0.0222015380859375
SVDD_linear_0.01_scale_5_[384, 266, 128];0.4981287425149701;0.99825;0.6646138482023969;0.4293802469135803;0.4993788819875776;0.0220184326171875
SVDD_linear_0.05_scale_5_[384, 266, 128];0.5023386342376053;0.93975;0.6547069581119918;0.4390425925925926;0.5074534161490684;0.03199481964111328
SVDD_linear_0.1_scale_5_[384, 266, 128];0.512724658519051;0.8915;0.6510269283432222;0.4998708641975309;0.5250931677018633;0.033522844314575195
SVDD_linear_0.2_scale_5_[384, 266, 128];0.5537232233934036;0.81425;0.6591783039870472;0.5713135802469136;0.5816149068322981;0.04793596267700195
SVDD_linear_0.3_scale_5_[384, 266, 128];0.5794533459000942;0.7685;0.660720042987641;0.6018248148148149;0.6078260869565217;0.0768892765045166
SVDD_linear_0.4_scale_5_[384, 266, 128];0.6090928866652164;0.7;0.6513900197743397;0.6313775925925926;0.6277018633540372;0.0913076400756836
SVDD_linear_0.5_scale_5_[384, 266, 128];0.6138996138996139;0.477;0.5368598761958356;0.6526503703703704;0.591055900621118;0.10148119926452637
SVDD_linear_0.6_scale_5_[384, 266, 128];0.6263736263736264;0.399;0.48747709224190594;0.6579076543209876;0.5831055900621118;0.12686705589294434
SVDD_linear_0.7_scale_5_[384, 266, 128];0.65;0.3445;0.4503267973856209;0.6577838888888888;0.582111801242236;0.14175653457641602
