Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_5_[384, 266, 128];0.5028666264333133;0.83325;0.6272111403838917;0.6205822839506172;0.5078260869565218;0.08858537673950195
SVDD_RBF_0.0005_scale_5_[384, 266, 128];0.5032351776046481;0.95275;0.6586019182580144;0.6130088271604939;0.5091925465838509;0.08949685096740723
SVDD_RBF_0.001_scale_5_[384, 266, 128];0.5040402702344682;0.95125;0.6589315092215776;0.6021874691358025;0.5106832298136645;0.09249544143676758
SVDD_RBF_0.005_scale_5_[384, 266, 128];0.5034309844286091;0.95375;0.6590084643288996;0.6008793209876543;0.5095652173913043;0.08751678466796875
SVDD_RBF_0.01_scale_5_[384, 266, 128];0.5033627851773704;0.95425;0.6590693257359924;0.603449938271605;0.5094409937888199;0.08283543586730957
SVDD_RBF_0.05_scale_5_[384, 266, 128];0.5076299797434166;0.93975;0.6591845681718544;0.49644499999999997;0.5171428571428571;0.05205798149108887
SVDD_RBF_0.1_scale_5_[384, 266, 128];0.5080557072637902;0.93025;0.6571882726951607;0.4843085802469136;0.5177639751552795;0.12309980392456055
SVDD_RBF_0.2_scale_5_[384, 266, 128];0.5511797657443558;0.81175;0.6565564654736629;0.6629291358024691;0.5780124223602484;0.2685844898223877
SVDD_RBF_0.3_scale_5_[384, 266, 128];0.607621009268795;0.7375;0.6662902315076228;0.6798676543209876;0.632919254658385;0.3190889358520508
SVDD_RBF_0.4_scale_5_[384, 266, 128];0.632648401826484;0.69275;0.6613365155131264;0.6946561728395062;0.6474534161490684;0.48080873489379883
SVDD_RBF_0.5_scale_5_[384, 266, 128];0.6567588524166451;0.63525;0.645825390773923;0.6900163580246914;0.6537888198757764;0.5192005634307861
SVDD_RBF_0.6_scale_5_[384, 266, 128];0.6988062442607897;0.57075;0.6283198018439521;0.697880925925926;0.664472049689441;0.5155506134033203
SVDD_RBF_0.7_scale_5_[384, 266, 128];0.7125372146873966;0.5385;0.6134130713370355;0.7041719135802469;0.6627329192546584;0.603787899017334
SVDD_RBF_0.8_scale_5_[384, 266, 128];0.6942504030091349;0.323;0.4408803958368879;0.6920862962962963;0.5929192546583851;0.7161855697631836
SVDD_RBF_0.9_scale_5_[384, 266, 128];0.7598814229249012;0.19225;0.3068635275339186;0.6949277160493827;0.5684472049689441;0.41227078437805176
SVDD_RBF_0.0001_auto_5_[384, 266, 128];0.5625700410907732;0.3765;0.451100793769657;0.5735952469135803;0.5447204968944099;0.06508350372314453
SVDD_RBF_0.0005_auto_5_[384, 266, 128];0.5297319932998324;0.6325;0.5765724703737466;0.5791713580246913;0.5383850931677019;0.08145356178283691
SVDD_RBF_0.001_auto_5_[384, 266, 128];0.5499801666005554;0.69325;0.6133598761335988;0.6079289506172839;0.5657142857142857;0.08111357688903809
SVDD_RBF_0.005_auto_5_[384, 266, 128];0.5544668587896253;0.7215;0.6270505160239;0.625369012345679;0.5735403726708075;0.08110260963439941
SVDD_RBF_0.01_auto_5_[384, 266, 128];0.5559573658165208;0.73025;0.6312945753187811;0.6307064197530864;0.5761490683229814;0.08387565612792969
SVDD_RBF_0.05_auto_5_[384, 266, 128];0.556515064287085;0.725;0.6296819020736076;0.630320061728395;0.5762732919254658;0.08269047737121582
SVDD_RBF_0.1_auto_5_[384, 266, 128];0.5590733590733591;0.724;0.6309368191721133;0.6345856790123456;0.5791304347826087;0.0867471694946289
SVDD_RBF_0.2_auto_5_[384, 266, 128];0.6123568702290076;0.64175;0.6267089843750001;0.6551181481481482;0.6201242236024844;0.12436890602111816
SVDD_RBF_0.3_auto_5_[384, 266, 128];0.6411631846414455;0.56775;0.6022275258552108;0.670989012345679;0.6273291925465838;0.1640944480895996
SVDD_RBF_0.4_auto_5_[384, 266, 128];0.6610294117647059;0.4495;0.5351190476190476;0.6679943827160493;0.6119254658385093;0.20283102989196777
SVDD_RBF_0.5_auto_5_[384, 266, 128];0.6851494696239151;0.35525;0.4678959499506091;0.6784306790123457;0.5985093167701864;0.23972344398498535
SVDD_RBF_0.6_auto_5_[384, 266, 128];0.6827094474153298;0.28725;0.40436389231039943;0.6765904938271605;0.5795031055900621;0.2810485363006592
SVDD_RBF_0.7_auto_5_[384, 266, 128];0.7042801556420234;0.22625;0.34247871333964053;0.6815236419753087;0.5683229813664596;0.32523560523986816
SVDD_RBF_0.8_auto_5_[384, 266, 128];0.684375;0.1095;0.18879310344827585;0.6797933950617284;0.5324223602484472;0.3679618835449219
SVDD_RBF_0.9_auto_5_[384, 266, 128];0.6216216216216216;0.02875;0.054958183990442055;0.6775060493827161;0.508695652173913;0.4127838611602783
SVDD_linear_0.0001_scale_5_[384, 266, 128];0.4982530571499875;0.99825;0.6647244880972198;0.48088283950617283;0.4996273291925466;0.02324533462524414
SVDD_linear_0.0005_scale_5_[384, 266, 128];0.4982530571499875;0.99825;0.6647244880972198;0.48088283950617283;0.4996273291925466;0.022741317749023438
SVDD_linear_0.001_scale_5_[384, 266, 128];0.4982530571499875;0.99825;0.6647244880972198;0.48088283950617283;0.4996273291925466;0.023654937744140625
SVDD_linear_0.005_scale_5_[384, 266, 128];0.4982530571499875;0.99825;0.6647244880972198;0.48088283950617283;0.4996273291925466;0.022989749908447266
SVDD_linear_0.01_scale_5_[384, 266, 128];0.4982530571499875;0.99825;0.6647244880972198;0.48088283950617283;0.4996273291925466;0.0226747989654541
SVDD_linear_0.05_scale_5_[384, 266, 128];0.5050505050505051;0.9375;0.6564551422319475;0.45556216049382714;0.5124223602484472;0.027761220932006836
SVDD_linear_0.1_scale_5_[384, 266, 128];0.5035785857429144;0.8795;0.6404514837065355;0.4899358641975308;0.5093167701863354;0.03357529640197754
SVDD_linear_0.2_scale_5_[384, 266, 128];0.5545239702903444;0.82125;0.662031438935913;0.5716870987654321;0.5833540372670808;0.0499112606048584
SVDD_linear_0.3_scale_5_[384, 266, 128];0.5879173904651611;0.7615;0.6635442762226337;0.6141062962962963;0.6162732919254659;0.0564725399017334
SVDD_linear_0.4_scale_5_[384, 266, 128];0.6184895833333334;0.7125;0.6621747211895911;0.6373123456790124;0.6387577639751553;0.07815885543823242
SVDD_linear_0.5_scale_5_[384, 266, 128];0.6197478991596639;0.51625;0.5632842334969995;0.6586112345679013;0.6022360248447205;0.08219289779663086
SVDD_linear_0.6_scale_5_[384, 266, 128];0.6222641509433963;0.41225;0.4959398496240602;0.6597087037037037;0.5836024844720497;0.0992879867553711
SVDD_linear_0.7_scale_5_[384, 266, 128];0.6491150442477877;0.36675;0.4686900958466454;0.6599561111111111;0.586832298136646;0.12198495864868164
SVDD_linear_0.8_scale_5_[384, 266, 128];0.6517083120856706;0.3195;0.4287871162556618;0.6569776543209876;0.5770186335403726;0.11219310760498047
SVDD_linear_0.9_scale_5_[384, 266, 128];0.6557478368355995;0.26525;0.3777144891420434;0.6548849382716049;0.5657142857142857;0.12530064582824707
SVDD_linear_0.0001_auto_5_[384, 266, 128];0.4982530571499875;0.99825;0.6647244880972198;0.48088283950617283;0.4996273291925466;0.02220320701599121
SVDD_linear_0.0005_auto_5_[384, 266, 128];0.4982530571499875;0.99825;0.6647244880972198;0.48088283950617283;0.4996273291925466;0.02298140525817871
SVDD_linear_0.001_auto_5_[384, 266, 128];0.4982530571499875;0.99825;0.6647244880972198;0.48088283950617283;0.4996273291925466;0.023054122924804688
SVDD_linear_0.005_auto_5_[384, 266, 128];0.4982530571499875;0.99825;0.6647244880972198;0.48088283950617283;0.4996273291925466;0.022680282592773438
SVDD_linear_0.01_auto_5_[384, 266, 128];0.4982530571499875;0.99825;0.6647244880972198;0.48088283950617283;0.4996273291925466;0.025598526000976562
SVDD_linear_0.05_auto_5_[384, 266, 128];0.5050505050505051;0.9375;0.6564551422319475;0.45556216049382714;0.5124223602484472;0.02858448028564453
SVDD_linear_0.1_auto_5_[384, 266, 128];0.5035785857429144;0.8795;0.6404514837065355;0.4899358641975308;0.5093167701863354;0.03536820411682129
SVDD_linear_0.2_auto_5_[384, 266, 128];0.5545239702903444;0.82125;0.662031438935913;0.5716870987654321;0.5833540372670808;0.056792497634887695
SVDD_linear_0.3_auto_5_[384, 266, 128];0.5879173904651611;0.7615;0.6635442762226337;0.6141062962962963;0.6162732919254659;0.06428360939025879
SVDD_linear_0.4_auto_5_[384, 266, 128];0.6184895833333334;0.7125;0.6621747211895911;0.6373123456790124;0.6387577639751553;0.06821966171264648
SVDD_linear_0.5_auto_5_[384, 266, 128];0.6197478991596639;0.51625;0.5632842334969995;0.6586112345679013;0.6022360248447205;0.07893037796020508
SVDD_linear_0.6_auto_5_[384, 266, 128];0.6222641509433963;0.41225;0.4959398496240602;0.6597087037037037;0.5836024844720497;0.08841538429260254
SVDD_linear_0.7_auto_5_[384, 266, 128];0.6491150442477877;0.36675;0.4686900958466454;0.6599561111111111;0.586832298136646;0.11218142509460449
SVDD_linear_0.8_auto_5_[384, 266, 128];0.6517083120856706;0.3195;0.4287871162556618;0.6569776543209876;0.5770186335403726;0.10941338539123535
SVDD_linear_0.9_auto_5_[384, 266, 128];0.6557478368355995;0.26525;0.3777144891420434;0.6548849382716049;0.5657142857142857;0.12967419624328613
SVDD_sigmoid_0.0001_scale_5_[384, 266, 128];0.49648027626510827;0.9345;0.6484517304189436;0.384943024691358;0.4965217391304348;0.032705068588256836
SVDD_sigmoid_0.0005_scale_5_[384, 266, 128];0.49987418218419727;0.99325;0.6650485436893204;0.4447083950617283;0.5028571428571429;0.025333642959594727
SVDD_sigmoid_0.001_scale_5_[384, 266, 128];0.49987418218419727;0.99325;0.6650485436893204;0.4447083950617283;0.5028571428571429;0.02495431900024414
SVDD_sigmoid_0.005_scale_5_[384, 266, 128];0.4985641153702085;0.99825;0.6650012490632026;0.5027814197530863;0.500248447204969;0.024581193923950195
SVDD_sigmoid_0.01_scale_5_[384, 266, 128];0.4985641153702085;0.99825;0.6650012490632026;0.5027814197530863;0.500248447204969;0.024308443069458008
SVDD_sigmoid_0.05_scale_5_[384, 266, 128];0.5014643237486688;0.94175;0.654447533009034;0.4633522839506173;0.5058385093167702;0.03561711311340332
SVDD_sigmoid_0.1_scale_5_[384, 266, 128];0.5089758681577399;0.86475;0.6407928862541683;0.4952936419753087;0.5182608695652174;0.049848079681396484
SVDD_sigmoid_0.2_scale_5_[384, 266, 128];0.556922543753249;0.8035;0.657865111042882;0.5611579012345679;0.58472049689441;0.07259368896484375
SVDD_sigmoid_0.3_scale_5_[384, 266, 128];0.5944042261788299;0.7595;0.6668861815387992;0.6045574691358025;0.6229813664596273;0.09816336631774902
SVDD_sigmoid_0.4_scale_5_[384, 266, 128];0.6127567567567568;0.7085;0.6571594202898551;0.6192867901234569;0.6326708074534162;0.12950944900512695
SVDD_sigmoid_0.5_scale_5_[384, 266, 128];0.5996258185219832;0.48075;0.5336478423754684;0.6420222222222223;0.5824844720496895;0.14469647407531738
SVDD_sigmoid_0.6_scale_5_[384, 266, 128];0.612495351431759;0.41175;0.49245029152339664;0.6548438888888888;0.5782608695652174;0.1801466941833496
SVDD_sigmoid_0.7_scale_5_[384, 266, 128];0.6390617520344662;0.33375;0.438495647889637;0.658625987654321;0.5752795031055901;0.21113133430480957
SVDD_sigmoid_0.8_scale_5_[384, 266, 128];0.6436384571099597;0.2795;0.389750740805299;0.6592846296296296;0.5650931677018634;0.2357022762298584
SVDD_sigmoid_0.9_scale_5_[384, 266, 128];0.5942290351668169;0.16475;0.25797612057154046;0.6533503703703704;0.5290683229813664;0.2620062828063965
