Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_[3, 6, 9, 12];0.4436821952776005;0.69525;0.5416828983248929;0.30047222222222225;0.4154037267080745;0.029338598251342773
SVDD_RBF_0.0005_scale_[3, 6, 9, 12];0.47872968980797637;0.81025;0.6018570102135562;0.3482701234567902;0.46732919254658384;0.033540964126586914
SVDD_RBF_0.001_scale_[3, 6, 9, 12];0.4788504053058217;0.81225;0.6025034770514605;0.33420617283950615;0.4674534161490683;0.03417706489562988
SVDD_RBF_0.005_scale_[3, 6, 9, 12];0.4789272030651341;0.8125;0.6026330428333023;0.3423414814814815;0.4675776397515528;0.03512239456176758
SVDD_RBF_0.01_scale_[3, 6, 9, 12];0.47892099056603776;0.81225;0.602559347181009;0.34252827160493826;0.4675776397515528;0.034836769104003906
SVDD_RBF_0.05_scale_[3, 6, 9, 12];0.4786904586344197;0.8115;0.6021704851126982;0.3419898148148148;0.46720496894409935;0.037023067474365234
SVDD_RBF_0.1_scale_[3, 6, 9, 12];0.4777465621765489;0.80775;0.6003902257734832;0.35726425925925925;0.4657142857142857;0.04167032241821289
SVDD_RBF_0.2_scale_[3, 6, 9, 12];0.4662576687116564;0.722;0.5666078085148126;0.44570771604938275;0.4511801242236025;0.05315399169921875
SVDD_RBF_0.3_scale_[3, 6, 9, 12];0.4579694323144105;0.62925;0.5301179443976411;0.46235777777777776;0.44571428571428573;0.06825423240661621
SVDD_RBF_0.4_scale_[3, 6, 9, 12];0.4658994032395567;0.5465;0.5029912563276576;0.48267154320987654;0.46335403726708074;0.08193421363830566
SVDD_RBF_0.5_scale_[3, 6, 9, 12];0.45364558184451953;0.46975;0.46155735691476296;0.4649825308641975;0.45540372670807455;0.09750032424926758
SVDD_RBF_0.6_scale_[3, 6, 9, 12];0.4742299481549253;0.38875;0.4272564912762742;0.4727661111111111;0.482111801242236;0.11319494247436523
SVDD_RBF_0.7_scale_[3, 6, 9, 12];0.47786917352134745;0.305;0.3723485426522204;0.4672657407407408;0.48906832298136643;0.1259772777557373
SVDD_RBF_0.8_scale_[3, 6, 9, 12];0.5286989795918368;0.20725;0.2977729885057471;0.4764848765432098;0.5142857142857142;0.14109182357788086
SVDD_RBF_0.9_scale_[3, 6, 9, 12];0.6106770833333334;0.11725;0.1967281879194631;0.46962308641975303;0.5242236024844721;0.1535780429840088
SVDD_RBF_0.0001_auto_[3, 6, 9, 12];0.8825;0.1765;0.2941666666666667;0.6936625308641975;0.5791304347826087;0.020781993865966797
SVDD_RBF_0.0005_auto_[3, 6, 9, 12];0.5145990223279165;0.97375;0.6733511971648372;0.6689793827160494;0.5305590062111801;0.020245075225830078
SVDD_RBF_0.001_auto_[3, 6, 9, 12];0.5145990223279165;0.97375;0.6733511971648372;0.6689793827160494;0.5305590062111801;0.021051883697509766
SVDD_RBF_0.005_auto_[3, 6, 9, 12];0.5145990223279165;0.97375;0.6733511971648372;0.6689793827160494;0.5305590062111801;0.02074289321899414
SVDD_RBF_0.01_auto_[3, 6, 9, 12];0.5145990223279165;0.97375;0.6733511971648372;0.6689793827160494;0.5305590062111801;0.020521879196166992
SVDD_RBF_0.05_auto_[3, 6, 9, 12];0.5209895052473763;0.86875;0.6513589503280224;0.6599382716049383;0.537888198757764;0.028740882873535156
SVDD_RBF_0.1_auto_[3, 6, 9, 12];0.5296965784377018;0.8205;0.6437818752451943;0.663875;0.5488198757763976;0.03597307205200195
SVDD_RBF_0.2_auto_[3, 6, 9, 12];0.5613798419734053;0.72825;0.6340189356839698;0.659886049382716;0.5822360248447205;0.0504302978515625
SVDD_RBF_0.3_auto_[3, 6, 9, 12];0.5939957112223017;0.62325;0.6082713187751616;0.6566704938271605;0.6011180124223603;0.06391000747680664
SVDD_RBF_0.4_auto_[3, 6, 9, 12];0.629076501066748;0.516;0.5669550885867326;0.650575987654321;0.6083229813664597;0.07885313034057617
SVDD_RBF_0.5_auto_[3, 6, 9, 12];0.6837606837606838;0.44;0.535442652874962;0.6457516049382717;0.6206211180124224;0.09299278259277344
SVDD_RBF_0.6_auto_[3, 6, 9, 12];0.7962962962962963;0.29025;0.4254305606449249;0.6454979012345679;0.6104347826086957;0.1069798469543457
SVDD_RBF_0.7_auto_[3, 6, 9, 12];0.8451834862385321;0.18425;0.30254515599343185;0.6425474691358025;0.577888198757764;0.12016654014587402
SVDD_RBF_0.8_auto_[3, 6, 9, 12];0.8632478632478633;0.12625;0.2202835332606325;0.6425747530864198;0.5559006211180124;0.1344308853149414
SVDD_RBF_0.9_auto_[3, 6, 9, 12];0.9506172839506173;0.01925;0.03773584905660377;0.6408807407407406;0.5121739130434783;0.14849519729614258
SVDD_linear_0.0001_scale_[3, 6, 9, 12];0.5145042194092827;0.9755;0.6736878453038675;0.6787859259259259;0.5304347826086957;0.01900768280029297
SVDD_linear_0.0005_scale_[3, 6, 9, 12];0.5145042194092827;0.9755;0.6736878453038675;0.6787859259259259;0.5304347826086957;0.01880931854248047
SVDD_linear_0.001_scale_[3, 6, 9, 12];0.5145042194092827;0.9755;0.6736878453038675;0.6787859259259259;0.5304347826086957;0.018528223037719727
SVDD_linear_0.005_scale_[3, 6, 9, 12];0.5145042194092827;0.9755;0.6736878453038675;0.6787859259259259;0.5304347826086957;0.018927812576293945
SVDD_linear_0.01_scale_[3, 6, 9, 12];0.5145042194092827;0.9755;0.6736878453038675;0.6787859259259259;0.5304347826086957;0.020721912384033203
SVDD_linear_0.05_scale_[3, 6, 9, 12];0.5240312406127966;0.87225;0.6547194595608933;0.6662105555555555;0.5428571428571428;0.022199153900146484
SVDD_linear_0.1_scale_[3, 6, 9, 12];0.5323051948051948;0.81975;0.645472440944882;0.6688567901234568;0.5525465838509317;0.025371074676513672
SVDD_linear_0.2_scale_[3, 6, 9, 12];0.5628237099558795;0.7335;0.6369260827092152;0.6639587037037036;0.584472049689441;0.030398130416870117
SVDD_linear_0.3_scale_[3, 6, 9, 12];0.5994263862332696;0.627;0.6129032258064516;0.6608039506172839;0.6064596273291926;0.03558611869812012
SVDD_linear_0.4_scale_[3, 6, 9, 12];0.634734239802225;0.5135;0.5677169707020453;0.6537091358024691;0.6114285714285714;0.04153275489807129
SVDD_linear_0.5_scale_[3, 6, 9, 12];0.6941982272360999;0.43075;0.5316260413452638;0.6489632716049383;0.6228571428571429;0.04694557189941406
SVDD_linear_0.6_scale_[3, 6, 9, 12];0.8028571428571428;0.281;0.41629629629629633;0.6487562345679012;0.6084472049689441;0.05152726173400879
SVDD_linear_0.7_scale_[3, 6, 9, 12];0.8467836257309942;0.181;0.29824922760041195;0.6451945679012345;0.5767701863354038;0.056212425231933594
SVDD_linear_0.8_scale_[3, 6, 9, 12];0.87569573283859;0.118;0.20797532496144525;0.6456278395061729;0.5534161490683229;0.06070518493652344
SVDD_linear_0.9_scale_[3, 6, 9, 12];0.9625;0.01925;0.037745098039215684;0.6440916049382717;0.5122981366459627;0.06610369682312012
SVDD_linear_0.0001_auto_[3, 6, 9, 12];0.5145042194092827;0.9755;0.6736878453038675;0.6787859259259259;0.5304347826086957;0.018611431121826172
SVDD_linear_0.0005_auto_[3, 6, 9, 12];0.5145042194092827;0.9755;0.6736878453038675;0.6787859259259259;0.5304347826086957;0.01902604103088379
SVDD_linear_0.001_auto_[3, 6, 9, 12];0.5145042194092827;0.9755;0.6736878453038675;0.6787859259259259;0.5304347826086957;0.018611669540405273
