Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_Linear_scale_;0.6343238326258338;0.523;0.5733077555494656;0.6656780246913581;0.613167701863354;3.7259182929992676
SVDD_Linear_auto_;0.6343238326258338;0.523;0.5733077555494656;0.6656780246913581;0.613167701863354;2.8589651584625244
SVDD_Sigmoid_scale_;0.6122509663990485;0.51475;0.5592829009914437;0.641338950617284;0.5968944099378882;3.508601427078247
SVDD_Sigmoid_auto_;0.45494613124387856;0.4645;0.45967342899554675;0.4943184567901235;0.4573913043478261;3.546738862991333
SVDD_Poly_2_scale_;0.6017176596886742;0.5605;0.5803779446026405;0.6259091358024691;0.5972670807453416;2.771745443344116
SVDD_Poly_2_auto_;0.6017176596886742;0.5605;0.5803779446026405;0.6259091358024691;0.5972670807453416;3.1521506309509277
SVDD_Poly_3_scale_;0.6663614163614163;0.54575;0.6000549752611325;0.6629374691358025;0.6385093167701863;3.7154059410095215
SVDD_Poly_3_auto_;0.6663614163614163;0.54575;0.6000549752611325;0.6629374691358025;0.6385093167701863;3.2173843383789062
SVDD_Poly_4_scale_;0.6100155682407888;0.58775;0.5986758339699517;0.6092761728395062;0.6084472049689441;2.7938129901885986
SVDD_Poly_4_auto_;0.6100155682407888;0.58775;0.5986758339699517;0.6092760493827161;0.6084472049689441;2.7978174686431885
SVDD_RBF_0.001_scale_;0.5051836682452323;0.98675;0.6682468466943198;0.5348090740740741;0.513167701863354;0.21576619148254395
SVDD_RBF_0.01_scale_;0.5114732724902217;0.98075;0.6723221936589546;0.5559503086419753;0.5249689440993789;0.31003618240356445
SVDD_RBF_0.05_scale_;0.5313069057290937;0.94825;0.681030613160966;0.6211315432098765;0.5586335403726708;1.03181791305542
SVDD_RBF_0.1_scale_;0.529093567251462;0.90475;0.6677121771217712;0.6178652469135802;0.5525465838509317;1.9477546215057373
SVDD_RBF_0.2_scale_;0.5791427607154911;0.858;0.691517227483377;0.6379296296296296;0.6196273291925466;3.7104525566101074
SVDD_RBF_0.3_scale_;0.5996462264150944;0.76275;0.6714348591549296;0.6448419753086421;0.6290683229813665;5.566168308258057
SVDD_RBF_0.4_scale_;0.595730183965478;0.65575;0.6243008449363323;0.640439074074074;0.6078260869565217;7.390945196151733
SVDD_RBF_0.5_scale_;0.649923896499239;0.53375;0.5861358956760466;0.6432608024691358;0.6254658385093168;9.981312274932861
SVDD_RBF_0.6_scale_;0.6759428780666422;0.4615;0.5485069083345715;0.6510288888888889;0.6224844720496895;11.473849773406982
SVDD_RBF_0.7_scale_;0.6804942630185349;0.3855;0.4921800191509736;0.6601264197530864;0.60472049689441;13.469497442245483
SVDD_RBF_0.8_scale_;0.6735941320293398;0.2755;0.3910574875798439;0.6562768518518518;0.5736645962732919;15.642594814300537
SVDD_RBF_0.9_scale_;0.6478174603174603;0.16325;0.26078274760383385;0.6586273456790124;0.5401242236024845;15.714637756347656
SVDD_RBF_0.001_auto_;0.49297233318538247;0.833;0.6193884189980481;0.5172369135802469;0.49130434782608695;0.7173922061920166
SVDD_RBF_0.01_auto_;0.5238162344983089;0.92925;0.6699711607786589;0.5330485185185184;0.5450931677018633;0.9107205867767334
SVDD_RBF_0.05_auto_;0.5396825396825397;0.901;0.6750327776737216;0.5839403703703704;0.568944099378882;1.4734561443328857
SVDD_RBF_0.1_auto_;0.5526190097118293;0.86775;0.6752261453166034;0.5783737654320987;0.5852173913043478;2.586045026779175
SVDD_RBF_0.2_auto_;0.5719591457753017;0.77;0.6563665423548215;0.5349895679012346;0.5993788819875776;4.811915159225464
SVDD_RBF_0.3_auto_;0.5903190319031903;0.67075;0.6279695728496196;0.5632476543209877;0.6050931677018634;6.1591973304748535
SVDD_RBF_0.4_auto_;0.62;0.5735;0.5958441558441558;0.5970922222222222;0.613416149068323;7.124597787857056
SVDD_RBF_0.5_auto_;0.6424302788844621;0.48375;0.5519110096976612;0.610845987654321;0.6096894409937889;9.574543952941895
SVDD_RBF_0.6_auto_;0.6815812337098176;0.39225;0.49793716280545863;0.6320795679012345;0.6069565217391304;12.437250137329102
SVDD_RBF_0.7_auto_;0.7030618139803582;0.30425;0.4247077298900715;0.639445;0.5904347826086956;12.182110071182251
SVDD_RBF_0.8_auto_;0.6805671392827356;0.204;0.3139065204847086;0.6403527160493827;0.5568944099378882;15.731325626373291
SVDD_RBF_0.9_auto_;0.5911949685534591;0.094;0.16220880069025023;0.6379560493827161;0.5175155279503105;14.064348697662354
