Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_Linear_scale_5_[384, 128]_multiply;0.4220932341737711;0.58175;0.4892252706822243;0.29145771604938275;0.39639751552795033;1.0127792358398438
SVDD_Linear_auto_5_[384, 128]_multiply;0.4220932341737711;0.58175;0.4892252706822243;0.29145771604938275;0.39639751552795033;0.8425121307373047
SVDD_Sigmoid_scale_5_[384, 128]_multiply;0.4327064896755162;0.58675;0.4980899830220713;0.29957648148148147;0.4124223602484472;1.6102662086486816
SVDD_Sigmoid_auto_5_[384, 128]_multiply;0.48999797938977574;0.60625;0.5419599955302269;0.408625;0.49080745341614906;1.7613537311553955
SVDD_Poly_2_scale_5_[384, 128]_multiply;0.5452468007312614;0.5965;0.5697230181470869;0.5512900617283951;0.5522981366459627;0.9615166187286377
SVDD_Poly_2_auto_5_[384, 128]_multiply;0.5452468007312614;0.5965;0.5697230181470869;0.5512900617283951;0.5522981366459627;0.914705753326416
SVDD_Poly_3_scale_5_[384, 128]_multiply;0.388168826852775;0.584;0.4663605510081852;0.44252135802469134;0.33590062111801244;1.021042823791504
SVDD_Poly_3_auto_5_[384, 128]_multiply;0.388168826852775;0.584;0.4663605510081852;0.44252135802469134;0.33590062111801244;0.9644813537597656
SVDD_Poly_4_scale_5_[384, 128]_multiply;0.6171104536489151;0.62575;0.6214001986097318;0.643893888888889;0.6211180124223602;0.9680120944976807
SVDD_Poly_4_auto_5_[384, 128]_multiply;0.6171104536489151;0.62575;0.6214001986097318;0.6438931481481482;0.6211180124223602;0.9300944805145264
SVDD_RBF_0.001_scale_5_[384, 128]_multiply;0.4968851233491154;0.997;0.6632296690503908;0.9106098765432099;0.4968944099378882;0.06661796569824219
SVDD_RBF_0.01_scale_5_[384, 128]_multiply;0.5083834634583386;0.993;0.6724794717683908;0.908826913580247;0.5193788819875776;0.09002566337585449
SVDD_RBF_0.05_scale_5_[384, 128]_multiply;0.4904040404040404;0.971;0.6516778523489932;0.7758332098765433;0.48422360248447205;0.2870516777038574
SVDD_RBF_0.1_scale_5_[384, 128]_multiply;0.4826652919190617;0.93625;0.6369589250786631;0.5058779012345679;0.46968944099378884;0.540135383605957
SVDD_RBF_0.2_scale_5_[384, 128]_multiply;0.46537886001904505;0.85525;0.6027662760990221;0.30618666666666666;0.4398757763975155;1.0810487270355225
SVDD_RBF_0.3_scale_5_[384, 128]_multiply;0.4583270986084094;0.76575;0.5734344285313114;0.4226166049382716;0.4339130434782609;1.5591661930084229
SVDD_RBF_0.4_scale_5_[384, 128]_multiply;0.5494370522006141;0.671;0.6041643218908272;0.5897325925925926;0.5631055900621118;2.072681188583374
SVDD_RBF_0.5_scale_5_[384, 128]_multiply;0.6596153846153846;0.60025;0.6285340314136125;0.6384106790123456;0.6474534161490684;2.557159662246704
SVDD_RBF_0.6_scale_5_[384, 128]_multiply;0.7215928595949194;0.5255;0.6081296108780558;0.6608583950617284;0.6634782608695652;3.0701606273651123
SVDD_RBF_0.7_scale_5_[384, 128]_multiply;0.765292251925691;0.42225;0.5442242629289512;0.6631888888888888;0.6485714285714286;3.536440372467041
SVDD_RBF_0.8_scale_5_[384, 128]_multiply;0.7921381774865992;0.3325;0.4683923225920057;0.6582538271604939;0.6249689440993789;4.049051523208618
SVDD_RBF_0.9_scale_5_[384, 128]_multiply;0.8311156601842374;0.203;0.32630098452883266;0.6498093209876543;0.5834782608695652;4.462473154067993
SVDD_RBF_0.001_auto_5_[384, 128]_multiply;0.5147038708794966;0.94075;0.6653699938113341;0.8179377160493827;0.5298136645962733;0.2019810676574707
SVDD_RBF_0.01_auto_5_[384, 128]_multiply;0.5189469485440766;0.97575;0.6775453519659752;0.8577792592592592;0.5385093167701863;0.20902252197265625
SVDD_RBF_0.05_auto_5_[384, 128]_multiply;0.5405940594059406;0.9555;0.6905149051490516;0.8732076543209877;0.5744099378881987;0.32289719581604004
SVDD_RBF_0.1_auto_5_[384, 128]_multiply;0.5495049504950495;0.91575;0.6868554284642789;0.8406016666666667;0.5850931677018634;0.5732860565185547
SVDD_RBF_0.2_auto_5_[384, 128]_multiply;0.5898659812740958;0.80325;0.680215941568752;0.7497375308641976;0.6247204968944099;1.0627679824829102
SVDD_RBF_0.3_auto_5_[384, 128]_multiply;0.6246153846153846;0.7105;0.6647953216374269;0.7029433950617283;0.6439751552795031;1.569214105606079
SVDD_RBF_0.4_auto_5_[384, 128]_multiply;0.8789996322177271;0.5975;0.7114153891948207;0.7524378395061729;0.7591304347826087;2.0138986110687256
SVDD_RBF_0.5_auto_5_[384, 128]_multiply;0.9238683127572016;0.449;0.604306864064603;0.7803275925925924;0.7078260869565217;2.5114634037017822
SVDD_RBF_0.6_auto_5_[384, 128]_multiply;0.9411331861662987;0.31975;0.4773278596753126;0.7883417283950617;0.6520496894409938;3.0107061862945557
SVDD_RBF_0.7_auto_5_[384, 128]_multiply;0.9522821576763485;0.2295;0.3698630136986301;0.7891630864197531;0.6114285714285714;3.529496908187866
SVDD_RBF_0.8_auto_5_[384, 128]_multiply;0.959375;0.1535;0.26465517241379305;0.7893459259259259;0.5761490683229814;4.0526885986328125
SVDD_RBF_0.9_auto_5_[384, 128]_multiply;0.9539473684210527;0.0725;0.13475836431226765;0.7893193827160494;0.5373913043478261;4.410071611404419
SVDD_Linear_scale_5_[384, 128]_concatenate;0.5962587685113017;0.57375;0.5847878710663779;0.5865533333333334;0.5951552795031055;1.0336997509002686
SVDD_Linear_auto_5_[384, 128]_concatenate;0.5962587685113017;0.57375;0.5847878710663779;0.5865533333333334;0.5951552795031055;0.9013524055480957
SVDD_Sigmoid_scale_5_[384, 128]_concatenate;0.603129074315515;0.57825;0.5904275686024251;0.5951498148148148;0.6013664596273292;1.6834213733673096
SVDD_Sigmoid_auto_5_[384, 128]_concatenate;0.650296815974096;0.6025;0.6254866337918505;0.6331798765432097;0.6414906832298136;1.8241360187530518
SVDD_Poly_2_scale_5_[384, 128]_concatenate;0.5509622238061297;0.57975;0.5649896455110245;0.5231286419753086;0.5563975155279504;0.9861495494842529
SVDD_Poly_2_auto_5_[384, 128]_concatenate;0.5509622238061297;0.57975;0.5649896455110245;0.5231286419753086;0.5563975155279504;0.9867274761199951
SVDD_Poly_3_scale_5_[384, 128]_concatenate;0.5528775209050664;0.562;0.5574014381353831;0.6089892592592593;0.5565217391304348;1.0943236351013184
SVDD_Poly_3_auto_5_[384, 128]_concatenate;0.5528775209050664;0.562;0.5574014381353831;0.6089897530864198;0.5565217391304348;1.0161383152008057
SVDD_Poly_4_scale_5_[384, 128]_concatenate;0.5331191300049432;0.53925;0.5361670395227442;0.5016488271604939;0.5363975155279503;1.0260262489318848
SVDD_Poly_4_auto_5_[384, 128]_concatenate;0.5331191300049432;0.53925;0.5361670395227442;0.5016487654320988;0.5363975155279503;1.0068793296813965
SVDD_RBF_0.001_scale_5_[384, 128]_concatenate;0.5456166826725203;0.99425;0.7045796793338648;0.677974012345679;0.5857142857142857;0.07015204429626465
SVDD_RBF_0.01_scale_5_[384, 128]_concatenate;0.545816733067729;0.99325;0.7044950793510062;0.6889282098765432;0.5859627329192546;0.10812711715698242
SVDD_RBF_0.05_scale_5_[384, 128]_concatenate;0.5137481910274964;0.97625;0.6732178260494784;0.6232016049382716;0.5290683229813664;0.29752254486083984
SVDD_RBF_0.1_scale_5_[384, 128]_concatenate;0.5154381084840055;0.9265;0.6623771224307416;0.4953098148148148;0.5306832298136646;0.5842041969299316
SVDD_RBF_0.2_scale_5_[384, 128]_concatenate;0.5195294117647059;0.828;0.6384578313253012;0.4480122839506173;0.5340372670807454;1.1020081043243408
SVDD_RBF_0.3_scale_5_[384, 128]_concatenate;0.5457238059977786;0.737;0.6271006168900234;0.5474215432098766;0.564472049689441;1.648533582687378
SVDD_RBF_0.4_scale_5_[384, 128]_concatenate;0.6321029626032054;0.65075;0.6412909583641291;0.6491564197530865;0.6382608695652174;2.2171871662139893
SVDD_RBF_0.5_scale_5_[384, 128]_concatenate;0.6573761261261262;0.58375;0.6183792372881356;0.6744348148148148;0.6419875776397516;2.701636791229248
SVDD_RBF_0.6_scale_5_[384, 128]_concatenate;0.6723627998685507;0.5115;0.5810024137441431;0.6864497530864196;0.633416149068323;3.216965913772583
SVDD_RBF_0.7_scale_5_[384, 128]_concatenate;0.681635926222935;0.425;0.5235602094240838;0.6965942592592593;0.6156521739130435;3.7074811458587646
SVDD_RBF_0.8_scale_5_[384, 128]_concatenate;0.6723287671232877;0.30675;0.42128755364806875;0.6959808641975309;0.5812422360248447;4.237884521484375
SVDD_RBF_0.9_scale_5_[384, 128]_concatenate;0.6380316930775647;0.19125;0.2942873629544143;0.696679074074074;0.5442236024844721;4.756714582443237
SVDD_RBF_0.001_auto_5_[384, 128]_concatenate;0.8305494505494505;0.94475;0.8839766081871344;0.9223333333333332;0.8767701863354037;0.2469186782836914
SVDD_RBF_0.01_auto_5_[384, 128]_concatenate;0.8309146877748461;0.94475;0.8841834347215723;0.9211750000000001;0.8770186335403727;0.24220061302185059
SVDD_RBF_0.05_auto_5_[384, 128]_concatenate;0.8759560229445507;0.91625;0.8956500488758553;0.9277316049382716;0.8939130434782608;0.385181188583374
SVDD_RBF_0.1_auto_5_[384, 128]_concatenate;0.8639154998771801;0.87925;0.8715153016974353;0.9130629012345679;0.8711801242236025;0.6297485828399658
SVDD_RBF_0.2_auto_5_[384, 128]_concatenate;0.8772675736961452;0.77375;0.8222635494155155;0.8728960493827159;0.8337888198757764;1.1311216354370117
SVDD_RBF_0.3_auto_5_[384, 128]_concatenate;0.8791315618924174;0.67825;0.7657352526107819;0.8353345061728397;0.7937888198757764;1.6642706394195557
SVDD_RBF_0.4_auto_5_[384, 128]_concatenate;0.8378179137486178;0.56825;0.677193505139282;0.795368148148148;0.730807453416149;2.2045958042144775
