Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_Linear_scale_;0.6182500721917412;0.53525;0.5737639019161196;0.6216044444444444;0.6048447204968944;2.6762046813964844
SVDD_Linear_auto_;0.6182500721917412;0.53525;0.5737639019161196;0.6216044444444444;0.6048447204968944;2.6909947395324707
SVDD_Sigmoid_scale_;0.5923076923076923;0.539;0.5643979057591623;0.6157911728395061;0.586583850931677;3.520064115524292
SVDD_Sigmoid_auto_;0.5666562597564783;0.45375;0.5039566847147021;0.5639124691358025;0.5561490683229814;3.542771816253662
SVDD_Poly_2_scale_;0.5904153354632588;0.462;0.5183730715287517;0.5925866049382715;0.573416149068323;2.7613914012908936
SVDD_Poly_2_auto_;0.5904153354632588;0.462;0.5183730715287517;0.5925866049382716;0.573416149068323;2.7657864093780518
SVDD_Poly_3_scale_;0.6126255380200861;0.427;0.5032410135533294;0.6410012345679013;0.5811180124223603;2.8463566303253174
SVDD_Poly_3_auto_;0.6126255380200861;0.427;0.5032410135533294;0.6410012345679013;0.5811180124223603;2.76877760887146
SVDD_Poly_4_scale_;0.5167580743449116;0.424;0.46580609722603683;0.5353835185185185;0.5167701863354037;2.7765755653381348
SVDD_Poly_4_auto_;0.5167580743449116;0.424;0.46580609722603683;0.5353835185185185;0.5167701863354037;2.840540885925293
SVDD_RBF_0.001_scale_;0.503502854177478;0.97025;0.6629654936795355;0.5760813580246914;0.5098136645962733;0.20871329307556152
SVDD_RBF_0.01_scale_;0.5121412803532008;0.986;0.6741304162037433;0.5732313580246914;0.5263354037267081;0.3090076446533203
SVDD_RBF_0.05_scale_;0.5258086717136958;0.955;0.6782068353306702;0.6231061111111111;0.5496894409937888;0.9824197292327881
SVDD_RBF_0.1_scale_;0.5377634660421545;0.9185;0.6783604135893648;0.6213553703703704;0.5672049689440993;1.8973705768585205
SVDD_RBF_0.2_scale_;0.5631349782293179;0.776;0.6526492851135408;0.5945082716049384;0.5895652173913043;4.967651605606079
SVDD_RBF_0.3_scale_;0.5780988274706867;0.69025;0.6292160437556974;0.6006525308641975;0.5957763975155279;5.190372705459595
SVDD_RBF_0.4_scale_;0.6136964569011105;0.58025;0.5965047545618093;0.6290532098765431;0.6099378881987577;7.367327928543091
SVDD_RBF_0.5_scale_;0.6036727879799666;0.452;0.5169406719085061;0.6338229629629629;0.5802484472049689;8.2436683177948
SVDD_RBF_0.6_scale_;0.6456728590847304;0.35625;0.45915901401643305;0.6363708024691358;0.5829813664596273;10.707292556762695
SVDD_RBF_0.7_scale_;0.6883749239196592;0.28275;0.4008506113769272;0.6366601851851852;0.58;12.565176486968994
SVDD_RBF_0.8_scale_;0.7325881341358556;0.213;0.33004067402672865;0.6431544444444445;0.5703105590062112;14.209349155426025
SVDD_RBF_0.9_scale_;0.7784522003034902;0.12825;0.22021893110109467;0.6453117901234567;0.548695652173913;16.013121366500854
SVDD_RBF_0.001_auto_;0.5188486265341905;0.88775;0.6549243821468093;0.504704074074074;0.5351552795031056;0.7893197536468506
SVDD_RBF_0.01_auto_;0.5390958621705199;0.91525;0.6785284032990455;0.5127362345679012;0.5690683229813664;1.3280291557312012
SVDD_RBF_0.05_auto_;0.5492132058006788;0.89;0.6792596832665522;0.521455;0.582360248447205;1.8456766605377197
SVDD_RBF_0.1_auto_;0.5458745874587458;0.827;0.6576540755467196;0.5407941975308642;0.5721739130434783;2.21390962600708
SVDD_RBF_0.2_auto_;0.5788938592923952;0.71175;0.6384839650145773;0.5978952469135802;0.5995031055900621;3.7652692794799805
SVDD_RBF_0.3_auto_;0.6205250596658711;0.65;0.634920634920635;0.6151237037037036;0.6285714285714286;6.109411954879761
SVDD_RBF_0.4_auto_;0.6273849607182941;0.559;0.5912215758857748;0.6278341975308642;0.6159006211180125;6.690184831619263
SVDD_RBF_0.5_auto_;0.6531835205992509;0.436;0.5229385307346327;0.6319564197530864;0.60472049689441;8.27138376235962
SVDD_RBF_0.6_auto_;0.7183718371837183;0.3265;0.44895152973530417;0.6380111728395063;0.6017391304347826;11.62709641456604
SVDD_RBF_0.7_auto_;0.756155679110405;0.238;0.3620460163529188;0.6431176543209878;0.5832298136645963;11.392291069030762
SVDD_RBF_0.8_auto_;0.7448107448107448;0.1525;0.25316455696202533;0.6436605555555556;0.5529192546583851;13.973603963851929
SVDD_RBF_0.9_auto_;0.9927007299270073;0.068;0.12728123537669633;0.6395588271604938;0.5366459627329192;16.804728507995605
