Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_Linear_scale_;0.9985994397759104;0.3565;0.5254237288135593;0.9806881481481482;0.68;4.064088821411133
SVDD_Linear_auto_;0.9985994397759104;0.3565;0.5254237288135593;0.9806881481481482;0.68;3.817065477371216
SVDD_Sigmoid_scale_;0.9974921630094044;0.39775;0.568722073279714;0.9850904320987653;0.7002484472049689;4.881608247756958
SVDD_Sigmoid_auto_;0.9986004198740378;0.35675;0.5256953398415914;0.9806877777777776;0.6801242236024845;5.676220655441284
SVDD_Poly_2_scale_;0.949238578680203;0.374;0.5365853658536586;0.9215244444444444;0.6790062111801243;4.796875476837158
SVDD_Poly_2_auto_;0.9274952919020716;0.4925;0.643370346178968;0.9127742592592593;0.7286956521739131;4.870375394821167
SVDD_Poly_3_scale_;0.8917800118273211;0.377;0.5299595853101389;0.8362376543209877;0.6677018633540373;4.857354402542114
SVDD_Poly_3_auto_;0.7011160714285715;0.78525;0.740801886792453;0.8127127160493827;0.7269565217391304;3.517942190170288
SVDD_Poly_4_scale_;0.8649112764739554;0.37775;0.5258395684705064;0.7831583950617285;0.6614906832298136;3.967135190963745
SVDD_Poly_4_auto_;0.5418894830659536;0.912;0.6798360044726053;0.7686407407407407;0.5731677018633541;3.550598621368408
SVDD_RBF_0.001_scale_;0.9231334149326805;0.94275;0.9328385899814471;0.9828962345679013;0.9325465838509317;0.9859700202941895
SVDD_RBF_0.01_scale_;0.9231334149326805;0.94275;0.9328385899814471;0.9828825925925927;0.9325465838509317;0.9967372417449951
SVDD_RBF_0.05_scale_;0.9481132075471698;0.9045;0.9257932446264073;0.9828058641975308;0.9279503105590062;1.4626131057739258
SVDD_RBF_0.1_scale_;0.9670014347202296;0.8425;0.9004676018704075;0.9827743827160494;0.9074534161490683;2.5691001415252686
SVDD_RBF_0.2_scale_;0.9882352941176471;0.714;0.8290275761973875;0.982211975308642;0.8536645962732919;5.4171741008758545
SVDD_RBF_0.3_scale_;0.9950914770191879;0.5575;0.7146290658548311;0.9812453703703703;0.7787577639751553;8.142491102218628
SVDD_RBF_0.4_scale_;0.9983155530600786;0.4445;0.615118491610448;0.980337037037037;0.7236024844720497;14.706148624420166
SVDD_RBF_0.5_scale_;0.9985632183908046;0.3475;0.5155786350148368;0.9797454938271605;0.675527950310559;13.948336362838745
SVDD_RBF_0.6_scale_;1.0;0.2675;0.42209072978303747;0.9795698765432098;0.6360248447204969;15.970006227493286
SVDD_RBF_0.7_scale_;1.0;0.19225;0.3224994757810862;0.9792661111111111;0.5986335403726708;26.865672826766968
SVDD_RBF_0.8_scale_;1.0;0.122;0.21746880570409985;0.9790577777777778;0.5637267080745342;19.90811800956726
SVDD_RBF_0.9_scale_;1.0;0.06125;0.1154299175500589;0.9790639506172839;0.5335403726708075;32.998664140701294
SVDD_RBF_0.001_auto_;0.9533128319821079;0.8525;0.9000923848488848;0.9785675308641976;0.9059627329192547;0.174027681350708
SVDD_RBF_0.01_auto_;0.8761200716845878;0.97775;0.9241493383742913;0.982065185185185;0.9202484472049689;0.6334230899810791
SVDD_RBF_0.05_auto_;0.9351010101010101;0.92575;0.9304020100502512;0.9828416049382716;0.9311801242236025;2.2063839435577393
SVDD_RBF_0.1_auto_;0.9653032440056417;0.8555;0.907090788601723;0.9828074691358024;0.9129192546583851;3.747501850128174
SVDD_RBF_0.2_auto_;0.9880992859571575;0.7265;0.8373433222878548;0.9825547530864198;0.859751552795031;6.823768138885498
SVDD_RBF_0.3_auto_;0.994413407821229;0.5785;0.7314683104156788;0.9817395061728396;0.788944099378882;6.271805047988892
SVDD_RBF_0.4_auto_;0.9983810037776578;0.4625;0.6321544507090381;0.9811038271604939;0.7325465838509316;7.534351587295532
SVDD_RBF_0.5_auto_;0.9985994397759104;0.3565;0.5254237288135593;0.9806862345679014;0.68;8.841829776763916
SVDD_RBF_0.6_auto_;1.0;0.2835;0.4417608102843786;0.9804954938271604;0.6439751552795031;13.685380458831787
SVDD_RBF_0.7_auto_;1.0;0.2;0.33333333333333337;0.9801940740740742;0.6024844720496895;16.948243856430054
SVDD_RBF_0.8_auto_;1.0;0.12425;0.22103624638647987;0.9800031481481483;0.5648447204968944;14.309562921524048
SVDD_RBF_0.9_auto_;1.0;0.06325;0.11897484128850223;0.9799446913580248;0.5345341614906832;21.194044828414917
