Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_;0.680184987548915;0.478;0.5614447217736015;0.6251576851851852;0.628944099378882;0.09406447410583496
SVDD_RBF_0.0005_scale_;0.573145366304599;0.62;0.5956526960489973;0.5704218827160494;0.5817391304347826;0.10440731048583984
SVDD_RBF_0.001_scale_;0.5690140845070423;0.5555;0.5621758380771663;0.5924619444444444;0.5700621118012422;0.05179905891418457
SVDD_RBF_0.005_scale_;0.6067647818228763;0.5875;0.5969770100342945;0.6015776851851852;0.6058385093167702;0.03412151336669922
SVDD_RBF_0.01_scale_;0.6067647818228763;0.5875;0.5969770100342945;0.6015776851851852;0.6058385093167702;0.03496360778808594
SVDD_RBF_0.05_scale_;0.601965601965602;0.6125;0.607187112763321;0.6009950308641975;0.6062111801242236;0.05157732963562012
SVDD_RBF_0.1_scale_;0.6122181436811747;0.58375;0.5976452521115946;0.6019944135802469;0.6094409937888199;0.06637883186340332
SVDD_RBF_0.2_scale_;0.6189300411522634;0.376;0.46780715396578537;0.5819479938271604;0.5749068322981367;0.0677945613861084
SVDD_RBF_0.3_scale_;0.6717557251908397;0.33;0.4425817267393127;0.5902267592592594;0.5869565217391305;0.07622838020324707
SVDD_RBF_0.4_scale_;0.6979632389468455;0.35125;0.46732080492266753;0.5909486728395061;0.6021118012422361;0.09450149536132812
SVDD_RBF_0.5_scale_;0.7093406593406594;0.32275;0.4436426116838488;0.6045277469135802;0.5977639751552795;0.1026008129119873
SVDD_RBF_0.6_scale_;0.9034749034749034;0.2925;0.4419263456090652;0.6230968209876544;0.632919254658385;0.18581843376159668
SVDD_RBF_0.7_scale_;0.9251592356687898;0.2905;0.4421613394216133;0.6294871296296296;0.635776397515528;0.1282341480255127
SVDD_RBF_0.8_scale_;0.9528535980148883;0.288;0.44231138414282967;0.634004475308642;0.6391304347826087;0.1106569766998291
SVDD_RBF_0.9_scale_;0.9239302694136292;0.14575;0.2517814726840855;0.6343245987654321;0.5695652173913044;0.13266491889953613
SVDD_RBF_0.0001_auto_;0.7835820895522388;0.02625;0.05079825834542815;0.6445017592592593;0.5125465838509317;0.05522418022155762
SVDD_RBF_0.0005_auto_;0.6105060858424087;0.23825;0.34274411077144395;0.6418210802469136;0.5459627329192547;0.08606791496276855
SVDD_RBF_0.001_auto_;0.6331198536139067;0.173;0.2717455330846259;0.6464159259259259;0.5392546583850931;0.09578537940979004
SVDD_RBF_0.005_auto_;0.8275418275418276;0.3215;0.4630896651062298;0.6657996604938271;0.6295652173913043;0.13480806350708008
SVDD_RBF_0.01_auto_;0.8288235294117647;0.35225;0.49438596491228076;0.6682667901234568;0.6419875776397516;0.13503646850585938
SVDD_RBF_0.05_auto_;0.7467482785003825;0.244;0.367816091954023;0.6565692901234568;0.5832298136645963;0.047896623611450195
SVDD_RBF_0.1_auto_;0.7906309751434034;0.20675;0.3277843836702338;0.6599464814814815;0.5786335403726708;0.04599738121032715
SVDD_RBF_0.2_auto_;0.7263868065967016;0.24225;0.36332958380202474;0.6491467592592592;0.578136645962733;0.08158063888549805
SVDD_RBF_0.3_auto_;0.707833450952717;0.25075;0.3703156728816688;0.6450643209876543;0.5762732919254658;0.09082841873168945
SVDD_RBF_0.4_auto_;0.842;0.10525;0.18711111111111112;0.6782462962962963;0.5455900621118013;0.2308661937713623
SVDD_RBF_0.5_auto_;0.9307909604519774;0.16475;0.27994902293967716;0.6799751851851852;0.5788819875776398;0.12071824073791504
SVDD_RBF_0.6_auto_;0.9652173913043478;0.13875;0.2426229508196722;0.6816467283950617;0.5695652173913044;0.12247967720031738
SVDD_RBF_0.7_auto_;0.9618696186961869;0.1955;0.32495325161022237;0.6818626851851851;0.5963975155279503;0.12620186805725098
SVDD_RBF_0.8_auto_;0.0;0.0;0.0;0.6822301234567901;0.5031055900621118;0.13258981704711914
SVDD_RBF_0.9_auto_;0.0;0.0;0.0;0.6832725925925927;0.5031055900621118;0.08807897567749023
SVDD_linear_0.0001_scale_;0.4852899971980947;0.866;0.6220147243670318;0.3935033024691358;0.47701863354037266;0.03615975379943848
SVDD_linear_0.0005_scale_;0.4852899971980947;0.866;0.6220147243670318;0.3935033024691358;0.47701863354037266;0.06530976295471191
SVDD_linear_0.001_scale_;0.4852899971980947;0.866;0.6220147243670318;0.3935033024691358;0.47701863354037266;0.07530975341796875
SVDD_linear_0.005_scale_;0.4852899971980947;0.866;0.6220147243670318;0.3935033024691358;0.47701863354037266;0.0843505859375
SVDD_linear_0.01_scale_;0.4852899971980947;0.866;0.6220147243670318;0.3935033024691358;0.47701863354037266;0.1420276165008545
SVDD_linear_0.05_scale_;0.4852899971980947;0.866;0.6220147243670318;0.3935033024691358;0.47701863354037266;0.1247110366821289
