Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_[3, 6, 9, 12];0.5729411764705883;0.36525;0.44610687022900763;0.6327122839506173;0.5493167701863354;0.12480425834655762
SVDD_RBF_0.0005_scale_[3, 6, 9, 12];0.5558620689655173;0.50375;0.5285245901639345;0.6352485185185186;0.5534161490683229;0.2205348014831543
SVDD_RBF_0.001_scale_[3, 6, 9, 12];0.5484085985669055;0.82275;0.6581341865813419;0.6551918518518518;0.5752795031055901;0.33315443992614746
SVDD_RBF_0.005_scale_[3, 6, 9, 12];0.5275375512061903;0.86925;0.6565952223586063;0.6067351234567901;0.5481987577639752;0.27078914642333984
SVDD_RBF_0.01_scale_[3, 6, 9, 12];0.5271849197694345;0.846;0.6495824935214511;0.609990925925926;0.5464596273291925;0.15065526962280273
SVDD_RBF_0.05_scale_[3, 6, 9, 12];0.5330239752513535;0.8615;0.6585762064022934;0.6060307407407407;0.5561490683229814;0.4891369342803955
SVDD_RBF_0.1_scale_[3, 6, 9, 12];0.5157201646090535;0.78325;0.6219354838709676;0.5864303703703704;0.526832298136646;0.45920753479003906
SVDD_RBF_0.2_scale_[3, 6, 9, 12];0.5262152777777778;0.75775;0.6211065573770491;0.5704969135802469;0.5406211180124224;0.47695159912109375
SVDD_RBF_0.3_scale_[3, 6, 9, 12];0.5451676528599606;0.691;0.6094818081587652;0.5267860493827161;0.56;0.6815285682678223
SVDD_RBF_0.4_scale_[3, 6, 9, 12];0.5090648854961832;0.5335;0.5209960937500001;0.5024812962962963;0.5125465838509317;0.76749587059021
SVDD_RBF_0.5_scale_[3, 6, 9, 12];0.5445070422535211;0.48325;0.5120529801324503;0.5083369135802469;0.542360248447205;0.8403279781341553
SVDD_RBF_0.6_scale_[3, 6, 9, 12];0.5974076983503535;0.38025;0.46471127406049495;0.4851893827160494;0.56472049689441;1.012650728225708
SVDD_RBF_0.7_scale_[3, 6, 9, 12];0.6136363636363636;0.14175;0.2303005686433794;0.45281876543209876;0.529192546583851;1.092607021331787
SVDD_RBF_0.8_scale_[3, 6, 9, 12];0.6673728813559322;0.07875;0.14087656529516995;0.42976876543209874;0.5227329192546584;1.384199619293213
SVDD_RBF_0.9_scale_[3, 6, 9, 12];0.5404255319148936;0.0635;0.11364653243847873;0.4018275925925926;0.5078260869565218;1.7404110431671143
SVDD_RBF_0.0001_auto_[3, 6, 9, 12];0.7762711864406779;0.05725;0.10663562281722933;0.5988056790123457;0.5233540372670807;0.3797433376312256
SVDD_RBF_0.0005_auto_[3, 6, 9, 12];0.5897323387450636;0.336;0.4280936454849499;0.5494065432098766;0.5539130434782609;0.5098071098327637
SVDD_RBF_0.001_auto_[3, 6, 9, 12];0.3894899536321484;0.189;0.2545026089883858;0.5243828395061728;0.4498136645962733;0.9105896949768066
SVDD_RBF_0.005_auto_[3, 6, 9, 12];0.5743801652892562;0.417;0.4831981460023174;0.5692864814814815;0.5567701863354038;1.0886375904083252
SVDD_RBF_0.01_auto_[3, 6, 9, 12];0.5356158992522629;0.34025;0.41614432044029964;0.5491637037037037;0.5255900621118013;1.0209534168243408
SVDD_RBF_0.05_auto_[3, 6, 9, 12];0.5313408053134081;0.32;0.39943828990482133;0.5545860493827159;0.5218633540372671;0.7041103839874268
SVDD_RBF_0.1_auto_[3, 6, 9, 12];0.5664423885618166;0.33675;0.42238946378174974;0.560910061728395;0.542360248447205;0.558826208114624
SVDD_RBF_0.2_auto_[3, 6, 9, 12];0.5641564997896508;0.33525;0.4205739375882076;0.5601396296296297;0.5409937888198758;0.4479331970214844
SVDD_RBF_0.3_auto_[3, 6, 9, 12];0.6238244514106583;0.2985;0.4037876225904633;0.5736656790123457;0.5619875776397516;0.634082555770874
SVDD_RBF_0.4_auto_[3, 6, 9, 12];0.6750998668442078;0.2535;0.36859323882224654;0.5822719753086419;0.5684472049689441;0.6576271057128906
SVDD_RBF_0.5_auto_[3, 6, 9, 12];0.6693786982248521;0.22625;0.3381913303437968;0.537387037037037;0.56;0.4802896976470947
SVDD_RBF_0.6_auto_[3, 6, 9, 12];0.7110132158590309;0.20175;0.3143135345666992;0.5136032716049383;0.5626086956521739;0.5204522609710693
SVDD_RBF_0.7_auto_[3, 6, 9, 12];0.5932203389830508;0.07875;0.13904215404987863;0.4846232098765433;0.5154037267080745;0.5849015712738037
SVDD_RBF_0.8_auto_[3, 6, 9, 12];0.7455621301775148;0.0315;0.06044615015591269;0.4699722839506173;0.513416149068323;0.629410982131958
SVDD_RBF_0.9_auto_[3, 6, 9, 12];0.7916666666666666;0.0095;0.018774703557312252;0.4588795679012346;0.506583850931677;0.7503118515014648
SVDD_linear_0.0001_scale_[3, 6, 9, 12];0.4943117889736217;0.9885;0.6590549212434369;0.364128086419753;0.49180124223602484;0.1289074420928955
SVDD_linear_0.0005_scale_[3, 6, 9, 12];0.4943117889736217;0.9885;0.6590549212434369;0.364128086419753;0.49180124223602484;0.0631856918334961
SVDD_linear_0.001_scale_[3, 6, 9, 12];0.4943117889736217;0.9885;0.6590549212434369;0.364128086419753;0.49180124223602484;0.12815451622009277
