Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_;1.0;0.01025;0.020292006928977976;0.9800786419753086;0.5081987577639752;0.1432945728302002
SVDD_RBF_0.0005_scale_;0.990979381443299;0.19225;0.32202680067001677;0.9796096913580248;0.5977639751552795;0.240281343460083
SVDD_RBF_0.001_scale_;0.9917808219178083;0.2715;0.4263002944062807;0.9810929629629629;0.6368944099378882;0.3004136085510254
SVDD_RBF_0.005_scale_;0.9921121822962313;0.283;0.44038124878428314;0.9805482098765432;0.6426086956521739;0.35415196418762207
SVDD_RBF_0.01_scale_;0.9921465968586387;0.28425;0.44189661873299657;0.9805774074074074;0.6432298136645963;0.3483288288116455
SVDD_RBF_0.05_scale_;0.992153443766347;0.2845;0.442199339421022;0.9806174074074074;0.6433540372670807;0.3540329933166504
SVDD_RBF_0.1_scale_;0.9921397379912664;0.284;0.44159378036929053;0.980619938271605;0.6431055900621118;0.37408995628356934
SVDD_RBF_0.2_scale_;0.9920704845814978;0.2815;0.4385589094449854;0.980610925925926;0.6418633540372671;0.37865638732910156
SVDD_RBF_0.3_scale_;0.9915809167446211;0.265;0.4182284474255277;0.9807514197530864;0.633664596273292;0.3952353000640869
SVDD_RBF_0.4_scale_;0.9935135135135135;0.22975;0.3731979695431472;0.98129;0.6165217391304347;0.4583163261413574
SVDD_RBF_0.5_scale_;0.9934383202099738;0.18925;0.31793364132717344;0.981809012345679;0.5965217391304348;0.45495128631591797
SVDD_RBF_0.6_scale_;0.9967051070840197;0.15125;0.2626438029086173;0.9824248148148148;0.5780124223602484;0.532691240310669
SVDD_RBF_0.7_scale_;1.0;0.122;0.21746880570409985;0.9831196913580247;0.5637267080745342;0.5719408988952637
SVDD_RBF_0.8_scale_;1.0;0.09475;0.17309888102306464;0.9835345679012346;0.5501863354037267;0.5865828990936279
SVDD_RBF_0.9_scale_;1.0;0.04225;0.08107459822499402;0.9830367283950617;0.5240993788819875;0.623955249786377
SVDD_RBF_0.0001_auto_;0.0;0.0;0.0;0.9814157407407408;0.5031055900621118;0.06187796592712402
SVDD_RBF_0.0005_auto_;0.0;0.0;0.0;0.9814157407407408;0.5031055900621118;0.06247425079345703
SVDD_RBF_0.001_auto_;0.0;0.0;0.0;0.9814157407407408;0.5031055900621118;0.06177473068237305
SVDD_RBF_0.005_auto_;0.0;0.0;0.0;0.9814157407407408;0.5031055900621118;0.06256341934204102
SVDD_RBF_0.01_auto_;0.0;0.0;0.0;0.983252037037037;0.5031055900621118;0.07128405570983887
SVDD_RBF_0.05_auto_;0.9834888729361091;0.3425;0.5080660114963842;0.9765896296296297;0.6704347826086956;0.14687108993530273
SVDD_RBF_0.1_auto_;0.9822222222222222;0.49725;0.6602489626556016;0.9788930864197531;0.7457142857142857;0.16812539100646973
SVDD_RBF_0.2_auto_;0.984504132231405;0.4765;0.6421832884097035;0.9793793209876543;0.7361490683229813;0.21439790725708008
SVDD_RBF_0.3_auto_;0.9873417721518988;0.39;0.5591397849462366;0.9794912345679012;0.6944099378881987;0.26650428771972656
SVDD_RBF_0.4_auto_;0.992040520984081;0.34275;0.5094760312151616;0.9802916049382716;0.6720496894409937;0.3231072425842285
SVDD_RBF_0.5_auto_;0.994328922495274;0.263;0.4159746935547647;0.9810488271604938;0.6330434782608696;0.3756842613220215
SVDD_RBF_0.6_auto_;0.9941927990708479;0.214;0.3521909072207365;0.9818677777777779;0.6088198757763975;0.448333740234375
SVDD_RBF_0.7_auto_;0.9970193740685543;0.16725;0.28644829800899163;0.9825807407407408;0.5859627329192546;0.5188488960266113
SVDD_RBF_0.8_auto_;1.0;0.1205;0.21508255243195;0.9835111111111111;0.5629813664596274;0.5157222747802734
SVDD_RBF_0.9_auto_;1.0;0.04925;0.09387657850845843;0.9829589506172839;0.5275776397515528;0.7473835945129395
SVDD_linear_0.0001_scale_;0.9887133182844243;0.1095;0.1971640783254558;0.9769961111111112;0.5568944099378882;0.06201028823852539
SVDD_linear_0.0005_scale_;0.982421875;0.503;0.6653439153439153;0.9795798765432098;0.7485714285714286;0.08718037605285645
SVDD_linear_0.001_scale_;0.9820839226779821;0.52075;0.6806077438327072;0.9792764197530863;0.7571428571428571;0.09467840194702148
SVDD_linear_0.005_scale_;0.9814471243042672;0.529;0.6874593892137751;0.9790964197530863;0.7609937888198758;0.09972977638244629
SVDD_linear_0.01_scale_;0.981455725544738;0.52925;0.6876725678089978;0.9791103086419752;0.7611180124223602;0.10316801071166992
SVDD_linear_0.05_scale_;0.9814643188137164;0.5295;0.6878856771679116;0.9790766666666667;0.7612422360248448;0.10484623908996582
SVDD_linear_0.1_scale_;0.9814643188137164;0.5295;0.6878856771679116;0.9790872839506173;0.7612422360248448;0.10889959335327148
SVDD_linear_0.2_scale_;0.9834087481146304;0.489;0.6531975288028051;0.9792217283950616;0.7419875776397515;0.10509729385375977
SVDD_linear_0.3_scale_;0.9877675840978594;0.40375;0.5732031943212068;0.9798631481481481;0.7012422360248447;0.13079833984375
SVDD_linear_0.4_scale_;0.9920462762111352;0.343;0.5097529258777633;0.9804690123456791;0.6721739130434783;0.1340625286102295
SVDD_linear_0.5_scale_;0.9935483870967742;0.2695;0.42399213372664707;0.9810753086419753;0.6361490683229813;0.15651583671569824
SVDD_linear_0.6_scale_;0.9942062572421785;0.2145;0.35286859962985806;0.9819019753086419;0.6090683229813665;0.16465139389038086
SVDD_linear_0.7_scale_;0.9969742813918305;0.16475;0.2827719373524995;0.982663888888889;0.58472049689441;0.18417787551879883
SVDD_linear_0.8_scale_;1.0;0.1175;0.21029082774049218;0.9834838271604939;0.5614906832298137;0.1979045867919922
SVDD_linear_0.9_scale_;1.0;0.04975;0.09478447249345083;0.9829527160493826;0.5278260869565218;0.2077646255493164
SVDD_linear_0.0001_auto_;0.9887133182844243;0.1095;0.1971640783254558;0.9769961111111112;0.5568944099378882;0.06434464454650879
SVDD_linear_0.0005_auto_;0.982421875;0.503;0.6653439153439153;0.9795798765432098;0.7485714285714286;0.08623337745666504
SVDD_linear_0.001_auto_;0.9820839226779821;0.52075;0.6806077438327072;0.9792764197530863;0.7571428571428571;0.0950615406036377
SVDD_linear_0.005_auto_;0.9814471243042672;0.529;0.6874593892137751;0.9790964197530863;0.7609937888198758;0.10329866409301758
SVDD_linear_0.01_auto_;0.981455725544738;0.52925;0.6876725678089978;0.9791103086419752;0.7611180124223602;0.10293030738830566
SVDD_linear_0.05_auto_;0.9814643188137164;0.5295;0.6878856771679116;0.9790766666666667;0.7612422360248448;0.10230135917663574
SVDD_linear_0.1_auto_;0.9814643188137164;0.5295;0.6878856771679116;0.9790872839506173;0.7612422360248448;0.10552167892456055
SVDD_linear_0.2_auto_;0.9834087481146304;0.489;0.6531975288028051;0.9792217283950616;0.7419875776397515;0.11008310317993164
SVDD_linear_0.3_auto_;0.9877675840978594;0.40375;0.5732031943212068;0.9798631481481481;0.7012422360248447;0.1272897720336914
SVDD_linear_0.4_auto_;0.9920462762111352;0.343;0.5097529258777633;0.9804690123456791;0.6721739130434783;0.1342179775238037
SVDD_linear_0.5_auto_;0.9935483870967742;0.2695;0.42399213372664707;0.9810753086419753;0.6361490683229813;0.15788817405700684
SVDD_linear_0.6_auto_;0.9942062572421785;0.2145;0.35286859962985806;0.9819019753086419;0.6090683229813665;0.1629495620727539
SVDD_linear_0.7_auto_;0.9969742813918305;0.16475;0.2827719373524995;0.982663888888889;0.58472049689441;0.18425202369689941
