Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.6909090909090909;0.437;0.535375191424196;0.6193858641975308;0.6231055900621117;0.0698854923248291
SVDD_RBF_0.0005_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5263319987680937;0.8545;0.6514198589670288;0.6278001851851851;0.5455900621118013;0.0799264907836914
SVDD_RBF_0.001_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5263319987680937;0.8545;0.6514198589670288;0.6278001851851851;0.5455900621118013;0.07886958122253418
SVDD_RBF_0.005_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5252171263141856;0.86175;0.6526554955978415;0.6330346296296296;0.5442236024844721;0.07814335823059082
SVDD_RBF_0.01_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5257177951788731;0.856;0.6513840007609627;0.6308209876543209;0.5447204968944099;0.07970738410949707
SVDD_RBF_0.05_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5260320394331485;0.85375;0.6509721692718261;0.6314248148148147;0.5450931677018633;0.07433080673217773
SVDD_RBF_0.1_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5251280409731114;0.82025;0.64032006245121;0.6273025308641975;0.542111801242236;0.09394669532775879
SVDD_RBF_0.2_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5214158719896558;0.8065;0.6333562383429863;0.6156216049382717;0.5360248447204969;0.10605311393737793
SVDD_RBF_0.3_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.557825679475164;0.744;0.6376004284949115;0.65771;0.5797515527950311;0.09761643409729004
SVDD_RBF_0.4_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.6452694610778443;0.6735;0.6590825688073394;0.6920943209876544;0.6537888198757764;0.11537027359008789
SVDD_RBF_0.5_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.6392194193241314;0.6715;0.6549622043404048;0.694904012345679;0.6484472049689441;0.13798189163208008
