Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_5_[384, 266, 128]_multiply;0.4725304465493911;0.4365;0.4538011695906433;0.4564829629629629;0.47788819875776395;0.08263111114501953
SVDD_RBF_0.0005_scale_5_[384, 266, 128]_multiply;0.8798043326345213;0.31475;0.4636346897440618;0.5645897530864198;0.6381366459627329;0.10657048225402832
SVDD_RBF_0.001_scale_5_[384, 266, 128]_multiply;0.5823869723591172;0.6795;0.6272066458982346;0.6411614814814814;0.5986335403726708;0.10827445983886719
SVDD_RBF_0.005_scale_5_[384, 266, 128]_multiply;0.4673557278208441;0.67825;0.5533911269760327;0.5456526543209876;0.45602484472049687;0.08450555801391602
SVDD_RBF_0.01_scale_5_[384, 266, 128]_multiply;0.46875;0.6975;0.5606913183279743;0.5435105555555555;0.4568944099378882;0.11849641799926758
SVDD_RBF_0.05_scale_5_[384, 266, 128]_multiply;0.5674815807099799;0.84725;0.6797031688728439;0.6930182716049383;0.6032298136645963;0.11631512641906738
SVDD_RBF_0.1_scale_5_[384, 266, 128]_multiply;0.534860721938355;0.81125;0.6446806397139168;0.6869809876543209;0.5556521739130434;0.12980937957763672
SVDD_RBF_0.2_scale_5_[384, 266, 128]_multiply;0.5186673363468943;0.7745;0.6212774491126041;0.658742839506173;0.5308074534161491;0.15797972679138184
SVDD_RBF_0.3_scale_5_[384, 266, 128]_multiply;0.529769392033543;0.63175;0.5762827822120866;0.5729855555555556;0.5383850931677019;0.16794800758361816
SVDD_RBF_0.4_scale_5_[384, 266, 128]_multiply;0.5567097731609073;0.6565;0.602500860387748;0.5792743209876543;0.5695652173913044;0.2028059959411621
SVDD_RBF_0.5_scale_5_[384, 266, 128]_multiply;0.5797833935018051;0.4015;0.4744460856720828;0.4752038271604938;0.5580124223602484;0.21865034103393555
SVDD_RBF_0.6_scale_5_[384, 266, 128]_multiply;0.5628042843232717;0.289;0.38189626693095474;0.43061358024691354;0.5351552795031056;0.22371816635131836
SVDD_RBF_0.7_scale_5_[384, 266, 128]_multiply;0.33382844411437057;0.22475;0.2686388764380696;0.2963840740740741;0.3919254658385093;0.30466270446777344
SVDD_RBF_0.8_scale_5_[384, 266, 128]_multiply;0.18864013266998342;0.11375;0.14192139737991266;0.23956462962962963;0.3165217391304348;0.3325521945953369
SVDD_RBF_0.9_scale_5_[384, 266, 128]_multiply;0.20321761219305673;0.06;0.09264620729588882;0.23528425925925925;0.4160248447204969;0.3702385425567627
SVDD_RBF_0.0001_auto_5_[384, 266, 128]_multiply;0.49049716803020765;0.97425;0.652490581833403;0.44277265432098767;0.48434782608695653;0.06395745277404785
SVDD_RBF_0.0005_auto_5_[384, 266, 128]_multiply;0.503293172690763;0.78325;0.6128117359413202;0.5923562345679012;0.5081987577639752;0.0846090316772461
SVDD_RBF_0.001_auto_5_[384, 266, 128]_multiply;0.503293172690763;0.78325;0.6128117359413202;0.5923562345679012;0.5081987577639752;0.07810664176940918
SVDD_RBF_0.005_auto_5_[384, 266, 128]_multiply;0.503293172690763;0.78325;0.6128117359413202;0.5923562345679012;0.5081987577639752;0.07620096206665039
SVDD_RBF_0.01_auto_5_[384, 266, 128]_multiply;0.5078173858661663;0.812;0.6248557137360523;0.5932068518518518;0.515527950310559;0.07325601577758789
SVDD_RBF_0.05_auto_5_[384, 266, 128]_multiply;0.5040638392197428;0.85275;0.6336026748397883;0.5673456172839506;0.5099378881987577;0.0814058780670166
SVDD_RBF_0.1_auto_5_[384, 266, 128]_multiply;0.5068960403381284;0.8545;0.6363213255142883;0.5696166049382716;0.5146583850931677;0.09569597244262695
SVDD_RBF_0.2_auto_5_[384, 266, 128]_multiply;0.4647530040053405;0.87025;0.6059181897302002;0.220914012345679;0.43751552795031057;0.10975408554077148
SVDD_RBF_0.3_auto_5_[384, 266, 128]_multiply;0.4269712601326455;0.72425;0.5372276309689383;0.2197691975308642;0.38;0.11928224563598633
SVDD_RBF_0.4_auto_5_[384, 266, 128]_multiply;0.39377470355731226;0.59775;0.4747815726767276;0.22753907407407406;0.34285714285714286;0.20178699493408203
SVDD_RBF_0.5_auto_5_[384, 266, 128]_multiply;0.34968317296409296;0.3725;0.36073114635032083;0.257027962962963;0.3439751552795031;0.2107689380645752
SVDD_RBF_0.6_auto_5_[384, 266, 128]_multiply;0.27660753880266076;0.2495;0.26235541535226076;0.23638253086419753;0.3028571428571429;0.26248812675476074
SVDD_RBF_0.7_auto_5_[384, 266, 128]_multiply;0.23596574690770694;0.186;0.20802460506081363;0.22400555555555554;0.29627329192546586;0.3571953773498535
SVDD_RBF_0.8_auto_5_[384, 266, 128]_multiply;0.18802732020891924;0.117;0.14424410540915394;0.22320098765432098;0.3101863354037267;0.3388204574584961
SVDD_RBF_0.9_auto_5_[384, 266, 128]_multiply;0.18877236273904996;0.0765;0.1088774239459171;0.22313827160493827;0.3777639751552795;0.40607190132141113
SVDD_linear_0.0001_scale_5_[384, 266, 128]_multiply;0.4928589325983463;0.9835;0.656651644132866;0.3732858641975309;0.488944099378882;0.051703453063964844
SVDD_linear_0.0005_scale_5_[384, 266, 128]_multiply;0.4928589325983463;0.9835;0.656651644132866;0.3732858641975309;0.488944099378882;0.05233955383300781
SVDD_linear_0.001_scale_5_[384, 266, 128]_multiply;0.4928589325983463;0.9835;0.656651644132866;0.3732858641975309;0.488944099378882;0.03682589530944824
SVDD_linear_0.005_scale_5_[384, 266, 128]_multiply;0.4928589325983463;0.9835;0.656651644132866;0.3732858641975309;0.488944099378882;0.052785396575927734
SVDD_linear_0.01_scale_5_[384, 266, 128]_multiply;0.4928589325983463;0.9835;0.656651644132866;0.3732858641975309;0.488944099378882;0.05323624610900879
SVDD_linear_0.05_scale_5_[384, 266, 128]_multiply;0.4916488760517393;0.97875;0.6545180974671905;0.33000685185185186;0.486583850931677;0.05378246307373047
SVDD_linear_0.1_scale_5_[384, 266, 128]_multiply;0.48823975720789076;0.96525;0.648471615720524;0.30480327160493825;0.48;0.05886220932006836
SVDD_linear_0.2_scale_5_[384, 266, 128]_multiply;0.4647530040053405;0.87025;0.6059181897302002;0.2374441975308642;0.43751552795031057;0.059758901596069336
SVDD_linear_0.3_scale_5_[384, 266, 128]_multiply;0.42741579644065303;0.7265;0.5381979812945643;0.225935987654321;0.3804968944099379;0.07516837120056152
SVDD_linear_0.4_scale_5_[384, 266, 128]_multiply;0.41102795173361845;0.67275;0.5102872854840239;0.22667006172839504;0.35838509316770184;0.09116601943969727
SVDD_linear_0.5_scale_5_[384, 266, 128]_multiply;0.31090651558073656;0.32925;0.3198154443904809;0.22384216049382716;0.30409937888198757;0.09764409065246582
SVDD_linear_0.6_scale_5_[384, 266, 128]_multiply;0.2700899332753119;0.23275;0.25003357056532827;0.2232293827160494;0.3062111801242236;0.10659646987915039
SVDD_linear_0.7_scale_5_[384, 266, 128]_multiply;0.24595803233574132;0.17875;0.20703633994498336;0.224000987654321;0.3196273291925466;0.10341191291809082
SVDD_linear_0.8_scale_5_[384, 266, 128]_multiply;0.2039374053508329;0.101;0.13509446580839324;0.22644685185185184;0.35739130434782607;0.10745358467102051
SVDD_linear_0.9_scale_5_[384, 266, 128]_multiply;0.20341880341880342;0.0595;0.09206963249516441;0.22802376543209876;0.4168944099378882;0.14482474327087402
SVDD_linear_0.0001_auto_5_[384, 266, 128]_multiply;0.4928589325983463;0.9835;0.656651644132866;0.3732858641975309;0.488944099378882;0.051486968994140625
SVDD_linear_0.0005_auto_5_[384, 266, 128]_multiply;0.4928589325983463;0.9835;0.656651644132866;0.3732858641975309;0.488944099378882;0.05084872245788574
SVDD_linear_0.001_auto_5_[384, 266, 128]_multiply;0.4928589325983463;0.9835;0.656651644132866;0.3732858641975309;0.488944099378882;0.04618382453918457
SVDD_linear_0.005_auto_5_[384, 266, 128]_multiply;0.4928589325983463;0.9835;0.656651644132866;0.3732858641975309;0.488944099378882;0.036600589752197266
