Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_Linear_scale_;0.9822014051522249;0.52425;0.6836185819070905;0.9809380246913579;0.7588819875776398;3.117065191268921
SVDD_Linear_auto_;0.9822014051522249;0.52425;0.6836185819070905;0.9809380246913579;0.7588819875776398;2.8503410816192627
SVDD_Sigmoid_scale_;1.0;0.531;0.6936642717178314;0.9961500000000001;0.7669565217391304;3.0892622470855713
SVDD_Sigmoid_auto_;0.9822014051522249;0.52425;0.6836185819070905;0.9809275308641976;0.7588819875776398;3.2620596885681152
SVDD_Poly_2_scale_;0.7147357367868393;0.5105;0.5955957415779496;0.7683543209876542;0.655527950310559;3.008103370666504
SVDD_Poly_2_auto_;0.6464585834333734;0.26925;0.38016237204376985;0.768655061728395;0.5637267080745342;3.933112621307373
SVDD_Poly_3_scale_;0.5354889589905363;0.50925;0.5220399794976934;0.5467454320987654;0.5366459627329192;3.9745047092437744
SVDD_Poly_3_auto_;0.5283368644067796;0.49875;0.5131172839506173;0.5371269135802469;0.5296894409937888;4.017395257949829
SVDD_Poly_4_scale_;0.46914721516061936;0.5075;0.4875705536207517;0.45383370370370363;0.46993788819875776;4.6453258991241455
SVDD_Poly_4_auto_;0.4869957950475004;0.78175;0.600134344112849;0.44823351851851856;0.482360248447205;2.7519071102142334
SVDD_RBF_0.001_scale_;0.9103796251802019;0.94725;0.9284489095809851;0.9640883333333333;0.9274534161490683;0.9045660495758057
SVDD_RBF_0.01_scale_;0.9104011530146529;0.9475;0.9285801788558128;0.9641127777777777;0.9275776397515528;1.0213403701782227
SVDD_RBF_0.05_scale_;0.9252615844544095;0.9285;0.9268779635637634;0.971155864197531;0.9272049689440994;1.8026363849639893
SVDD_RBF_0.1_scale_;0.9421247357293869;0.89125;0.9159815005138747;0.9748158024691359;0.9187577639751553;2.1339128017425537
SVDD_RBF_0.2_scale_;0.9630292188431724;0.8075;0.8784335055751973;0.9783772839506173;0.888944099378882;3.7096729278564453
SVDD_RBF_0.3_scale_;0.973487423521414;0.716;0.8251224430999712;0.9796056172839506;0.8491925465838509;5.366214275360107
SVDD_RBF_0.4_scale_;0.9793854531310774;0.6295;0.7663978085527317;0.9805905555555556;0.8093167701863354;7.193586826324463
SVDD_RBF_0.5_scale_;0.9818355640535373;0.5135;0.6743269862114248;0.9814864197530865;0.7535403726708074;16.141705989837646
SVDD_RBF_0.6_scale_;0.9870588235294118;0.4195;0.5887719298245614;0.9823931481481483;0.7088198757763975;23.60374426841736
SVDD_RBF_0.7_scale_;0.9891050583657588;0.31775;0.4809839167455061;0.9829273456790123;0.6592546583850931;16.74827527999878
SVDD_RBF_0.8_scale_;0.991725768321513;0.20975;0.34626496079240615;0.983434012345679;0.6064596273291926;23.96867084503174
SVDD_RBF_0.9_scale_;0.9902439024390244;0.1015;0.18412698412698414;0.9836247530864197;0.5530434782608695;24.22846245765686
SVDD_RBF_0.001_auto_;0.9023932426091037;0.48075;0.6273038656010439;0.938751851851852;0.7161490683229814;0.13369083404541016
SVDD_RBF_0.01_auto_;0.8803322855859901;0.98025;0.9276082327892122;0.9599178395061728;0.9239751552795031;0.39290308952331543
SVDD_RBF_0.05_auto_;0.9185113111165166;0.944;0.9310812476883245;0.9706761111111112;0.9305590062111802;1.2868907451629639
SVDD_RBF_0.1_auto_;0.9355503995875225;0.90725;0.9211828912298514;0.9737654938271606;0.9228571428571428;2.357278823852539
SVDD_RBF_0.2_auto_;0.9607444024425705;0.826;0.8882914370211049;0.9775427777777779;0.8967701863354037;4.561340093612671
SVDD_RBF_0.3_auto_;0.9727272727272728;0.72225;0.8289813486370158;0.9790391358024693;0.8519254658385094;9.239187240600586
SVDD_RBF_0.4_auto_;0.9777947932618682;0.6385;0.7725347852389595;0.9800033950617283;0.8131677018633541;14.262943506240845
SVDD_RBF_0.5_auto_;0.9822014051522249;0.52425;0.6836185819070905;0.980935;0.7588819875776398;11.557904720306396
SVDD_RBF_0.6_auto_;0.9855491329479769;0.42625;0.5951134380453752;0.98182512345679;0.7118012422360248;15.437540054321289
SVDD_RBF_0.7_auto_;0.9887133182844243;0.3285;0.4931506849315069;0.9824374074074074;0.664472049689441;26.013568878173828
SVDD_RBF_0.8_auto_;0.9912854030501089;0.2275;0.3700691337942253;0.982978950617284;0.6151552795031056;20.130139350891113
SVDD_RBF_0.9_auto_;0.9905882352941177;0.10525;0.1902824858757062;0.9832086419753088;0.5549068322981366;31.85903549194336
