Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_Linear_scale_[3, 6, 9, 12];0.6641034603285565;0.475;0.5538551231598892;0.6525305555555555;0.619751552795031;0.4669923782348633
SVDD_Linear_auto_[3, 6, 9, 12];0.6641034603285565;0.475;0.5538551231598892;0.6525305555555555;0.619751552795031;0.4628787040710449
SVDD_Sigmoid_scale_[3, 6, 9, 12];0.5885401670025914;0.511;0.547035996253178;0.6151316666666666;0.5795031055900621;1.141573190689087
SVDD_Sigmoid_auto_[3, 6, 9, 12];0.6634112312521799;0.4755;0.5539536915683705;0.6524196913580247;0.6195031055900622;0.9573476314544678
SVDD_Poly_2_scale_[3, 6, 9, 12];0.6472518457752255;0.3945;0.49021435228331783;0.600063148148148;0.5922981366459628;0.523963451385498
SVDD_Poly_2_auto_[3, 6, 9, 12];0.6472518457752255;0.3945;0.49021435228331783;0.600063148148148;0.5922981366459628;0.5188689231872559
SVDD_Poly_3_scale_[3, 6, 9, 12];0.9214241866175568;0.37525;0.5333096464736187;0.7078424074074074;0.6736645962732919;0.520989179611206
SVDD_Poly_3_auto_[3, 6, 9, 12];0.923927178153446;0.35525;0.5131816540267244;0.7078936419753087;0.6650931677018633;0.525726318359375
SVDD_Poly_4_scale_[3, 6, 9, 12];0.6710963455149501;0.404;0.5043695380774031;0.6200756172839506;0.6054658385093168;0.5472924709320068
SVDD_Poly_4_auto_[3, 6, 9, 12];0.6697892271662763;0.2145;0.3249384586252604;0.6212328395061728;0.5571428571428572;0.5509681701660156
SVDD_RBF_0.001_scale_[3, 6, 9, 12];0.4984957488554611;0.95275;0.6545298411335337;0.33408135802469136;0.500248447204969;0.05289745330810547
SVDD_RBF_0.01_scale_[3, 6, 9, 12];0.49986772486772485;0.94475;0.6538062283737024;0.3232272839506173;0.5028571428571429;0.06378817558288574
SVDD_RBF_0.05_scale_[3, 6, 9, 12];0.5;0.8985;0.6424740793707544;0.3977875925925926;0.5031055900621118;0.1543412208557129
SVDD_RBF_0.1_scale_[3, 6, 9, 12];0.49992699664184553;0.856;0.6312102497926076;0.4298494444444444;0.5029813664596273;0.27704572677612305
SVDD_RBF_0.2_scale_[3, 6, 9, 12];0.5010186491145588;0.79925;0.6159329544359888;0.45472709876543216;0.5047204968944099;0.511042594909668
SVDD_RBF_0.3_scale_[3, 6, 9, 12];0.4992036807644665;0.70525;0.5846026318516215;0.4597477160493827;0.5019875776397515;0.7590885162353516
SVDD_RBF_0.4_scale_[3, 6, 9, 12];0.48350730688935284;0.579;0.526962457337884;0.45667209876543213;0.4834782608695652;0.9703054428100586
SVDD_RBF_0.5_scale_[3, 6, 9, 12];0.46700379266750947;0.46175;0.46436203645505975;0.4526608024691358;0.4706832298136646;1.1878015995025635
SVDD_RBF_0.6_scale_[3, 6, 9, 12];0.43929225137278827;0.36;0.3957131079967024;0.4496464197530864;0.4536645962732919;1.40364408493042
SVDD_RBF_0.7_scale_[3, 6, 9, 12];0.41376613218615566;0.2645;0.32270855574195517;0.4506319135802469;0.44832298136645965;1.634594202041626
SVDD_RBF_0.8_scale_[3, 6, 9, 12];0.3548581774290887;0.147;0.20788403747569384;0.4467877777777778;0.4433540372670807;1.8091199398040771
SVDD_RBF_0.9_scale_[3, 6, 9, 12];0.33043478260869563;0.0665;0.11071800208116546;0.44058098765432097;0.46919254658385096;1.995177984237671
SVDD_RBF_0.001_auto_[3, 6, 9, 12];0.5089889073058779;0.998;0.6741535084015875;0.7332539506172839;0.5206211180124224;0.027623414993286133
SVDD_RBF_0.01_auto_[3, 6, 9, 12];0.5190412782956059;0.9745;0.6773240660295395;0.7369933950617285;0.5386335403726709;0.04836845397949219
SVDD_RBF_0.05_auto_[3, 6, 9, 12];0.531595352791159;0.938;0.6786037258093688;0.7363017283950617;0.5585093167701863;0.13866519927978516
SVDD_RBF_0.1_auto_[3, 6, 9, 12];0.5391669257071806;0.86725;0.6649415372819628;0.7154761111111112;0.5657142857142857;0.2501952648162842
SVDD_RBF_0.2_auto_[3, 6, 9, 12];0.5641025641025641;0.7315;0.6369870469141178;0.6813983950617284;0.5857142857142857;0.468611478805542
SVDD_RBF_0.3_auto_[3, 6, 9, 12];0.5849013829063704;0.645;0.613482344548805;0.6613180864197531;0.5961490683229813;0.6852760314941406
SVDD_RBF_0.4_auto_[3, 6, 9, 12];0.6018617021276595;0.56575;0.5832474226804124;0.6465858641975308;0.5982608695652174;0.9009497165679932
SVDD_RBF_0.5_auto_[3, 6, 9, 12];0.631371259454127;0.48;0.5453770771197273;0.6373696296296296;0.6023602484472049;1.1174449920654297
SVDD_RBF_0.6_auto_[3, 6, 9, 12];0.6645101663585952;0.3595;0.4665801427644386;0.6280720370370371;0.591552795031056;1.333357810974121
SVDD_RBF_0.7_auto_[3, 6, 9, 12];0.7518628912071535;0.25225;0.37776113815050544;0.6239420370370371;0.5870807453416149;1.555553674697876
SVDD_RBF_0.8_auto_[3, 6, 9, 12];0.8320373250388803;0.13375;0.23045444755545985;0.6218217283950618;0.5561490683229814;1.7431721687316895
SVDD_RBF_0.9_auto_[3, 6, 9, 12];0.758364312267658;0.051;0.09557273366127897;0.6199705555555555;0.5203726708074534;1.9441258907318115
SVDD_Linear_scale_[2, 4, 6, 8, 10];0.6041723853966511;0.55025;0.5759518513672641;0.6423504938271605;0.5973913043478261;0.48636293411254883
SVDD_Linear_auto_[2, 4, 6, 8, 10];0.6041723853966511;0.55025;0.5759518513672641;0.6423504938271605;0.5973913043478261;0.48259782791137695
SVDD_Sigmoid_scale_[2, 4, 6, 8, 10];0.5877363063499758;0.60625;0.5968496185084912;0.6346404938271605;0.5930434782608696;1.1696488857269287
SVDD_Sigmoid_auto_[2, 4, 6, 8, 10];0.6040637012630423;0.55;0.575765506411934;0.6422481481481481;0.5972670807453416;0.9773621559143066
SVDD_Poly_2_scale_[2, 4, 6, 8, 10];0.7187993680884676;0.455;0.5572565829761177;0.6811962962962963;0.6407453416149068;0.5394620895385742
SVDD_Poly_2_auto_[2, 4, 6, 8, 10];0.7208466453674122;0.45125;0.5550430504305043;0.6812816666666666;0.6404968944099378;0.5350801944732666
SVDD_Poly_3_scale_[2, 4, 6, 8, 10];0.7998331943286072;0.4795;0.599562363238512;0.7100685802469135;0.6817391304347826;0.5396163463592529
SVDD_Poly_3_auto_[2, 4, 6, 8, 10];0.8947957470621153;0.39975;0.5526179367547952;0.7101458024691357;0.6783850931677019;0.5383830070495605
SVDD_Poly_4_scale_[2, 4, 6, 8, 10];0.6738644825018615;0.4525;0.5414298534250673;0.6397050000000001;0.6191304347826087;0.5611157417297363
SVDD_Poly_4_auto_[2, 4, 6, 8, 10];0.7256493506493507;0.11175;0.1936741767764298;0.6384180864197531;0.5376397515527951;0.5543174743652344
SVDD_RBF_0.001_scale_[2, 4, 6, 8, 10];0.5159691629955947;0.937;0.6654829545454546;0.5237265432098765;0.5319254658385093;0.052614450454711914
SVDD_RBF_0.01_scale_[2, 4, 6, 8, 10];0.5143805309734514;0.93;0.6623931623931625;0.49113765432098766;0.528944099378882;0.06007981300354004
SVDD_RBF_0.05_scale_[2, 4, 6, 8, 10];0.5112900906083705;0.88875;0.6491372226787182;0.47009629629629635;0.5226086956521739;0.1595592498779297
SVDD_RBF_0.1_scale_[2, 4, 6, 8, 10];0.5113619262603462;0.8495;0.6384217942696102;0.49871382716049384;0.5218633540372671;0.2832491397857666
SVDD_RBF_0.2_scale_[2, 4, 6, 8, 10];0.505278310940499;0.78975;0.6162699960983223;0.5132197530864198;0.5113043478260869;0.528378963470459
SVDD_RBF_0.3_scale_[2, 4, 6, 8, 10];0.500180766449747;0.69175;0.5805707091900965;0.5313893209876543;0.5033540372670807;0.7707488536834717
SVDD_RBF_0.4_scale_[2, 4, 6, 8, 10];0.5052264808362369;0.61625;0.5552427075121071;0.5405483950617285;0.5094409937888199;0.9998645782470703
SVDD_RBF_0.5_scale_[2, 4, 6, 8, 10];0.5276148582600195;0.53975;0.5336134453781511;0.5514557407407408;0.5311801242236025;1.2273950576782227
SVDD_RBF_0.6_scale_[2, 4, 6, 8, 10];0.5396194262993468;0.475;0.5052519611753756;0.5505067901234567;0.5377639751552795;1.4418351650238037
SVDD_RBF_0.7_scale_[2, 4, 6, 8, 10];0.5654338549075392;0.3975;0.46682325308279504;0.5522830864197531;0.5488198757763976;1.6660594940185547
SVDD_RBF_0.8_scale_[2, 4, 6, 8, 10];0.6096311475409836;0.2975;0.39986559139784944;0.5504359259259259;0.5562732919254658;1.866288185119629
SVDD_RBF_0.9_scale_[2, 4, 6, 8, 10];0.6959669079627715;0.16825;0.2709885242601168;0.5398397530864197;0.5501863354037267;2.0615248680114746
SVDD_RBF_0.001_auto_[2, 4, 6, 8, 10];0.515538362346873;0.9995;0.6802211824755424;0.7437427777777778;0.5330434782608696;0.02807307243347168
SVDD_RBF_0.01_auto_[2, 4, 6, 8, 10];0.5259022506325742;0.98725;0.6862455469632462;0.7288682716049382;0.5514285714285714;0.04937911033630371
SVDD_RBF_0.05_auto_[2, 4, 6, 8, 10];0.5381260551491277;0.95625;0.6886928339935181;0.7327767283950617;0.5704347826086956;0.14280009269714355
SVDD_RBF_0.1_auto_[2, 4, 6, 8, 10];0.5406497978739332;0.90275;0.6762805506133532;0.7135887654320988;0.5705590062111802;0.25887322425842285
SVDD_RBF_0.2_auto_[2, 4, 6, 8, 10];0.5551815766164747;0.7835;0.6498703991705546;0.650003024691358;0.5804968944099379;0.4847733974456787
SVDD_RBF_0.3_auto_[2, 4, 6, 8, 10];0.5696453338617;0.71875;0.6355698021443572;0.6346401851851852;0.5904347826086956;0.7152755260467529
SVDD_RBF_0.4_auto_[2, 4, 6, 8, 10];0.5838789794536012;0.6465;0.6135959188515837;0.6350496296296296;0.5954037267080745;0.9401702880859375
SVDD_RBF_0.5_auto_[2, 4, 6, 8, 10];0.5896403650026838;0.54925;0.5687289671239969;0.6327066666666668;0.5860869565217391;1.1614437103271484
SVDD_RBF_0.6_auto_[2, 4, 6, 8, 10];0.6091249574395642;0.44725;0.5157849214357791;0.6299235185185186;0.5827329192546584;1.3936793804168701
SVDD_RBF_0.7_auto_[2, 4, 6, 8, 10];0.6350752878653676;0.3585;0.4582933844678811;0.6286691975308643;0.5788819875776398;1.610945701599121
SVDD_RBF_0.8_auto_[2, 4, 6, 8, 10];0.6815571155073389;0.267;0.38368959942518416;0.6277704320987654;0.5737888198757763;1.811605453491211
SVDD_RBF_0.9_auto_[2, 4, 6, 8, 10];0.7530589543937709;0.16925;0.2763829352929169;0.6256024691358024;0.5596273291925465;2.0090420246124268
SVDD_Linear_scale_[3, 5, 7, 9, 11];0.7416639689219813;0.57275;0.6463535054309494;0.7390504938271605;0.6885714285714286;0.4900991916656494
SVDD_Linear_auto_[3, 5, 7, 9, 11];0.7416639689219813;0.57275;0.6463535054309494;0.7390504938271605;0.6885714285714286;0.4903452396392822
SVDD_Sigmoid_scale_[3, 5, 7, 9, 11];0.6890449438202247;0.61325;0.6489417989417989;0.7324441975308642;0.6703105590062112;1.1928343772888184
SVDD_Sigmoid_auto_[3, 5, 7, 9, 11];0.741580310880829;0.5725;0.6461625282167043;0.7389904938271605;0.6884472049689441;0.9901843070983887
SVDD_Poly_2_scale_[3, 5, 7, 9, 11];0.6065631616090331;0.42975;0.5030728709394205;0.5873853086419754;0.578136645962733;0.5452265739440918
SVDD_Poly_2_auto_[3, 5, 7, 9, 11];0.607433628318584;0.429;0.5028571428571429;0.5874133333333333;0.5785093167701864;0.5468564033508301
SVDD_Poly_3_scale_[3, 5, 7, 9, 11];0.9353701527614571;0.398;0.5584005612065942;0.7582254938271604;0.6872049689440993;0.5424478054046631
SVDD_Poly_3_auto_[3, 5, 7, 9, 11];0.9348093480934809;0.38;0.540348382509776;0.7582228395061729;0.6787577639751553;0.54115891456604
SVDD_Poly_4_scale_[3, 5, 7, 9, 11];0.6427754479603508;0.4215;0.5091348331571794;0.597801975308642;0.5961490683229813;0.5609614849090576
SVDD_Poly_4_auto_[3, 5, 7, 9, 11];0.6672489082969433;0.191;0.29698736637512146;0.5979258641975309;0.5506832298136646;0.5577671527862549
SVDD_RBF_0.001_scale_[3, 5, 7, 9, 11];0.5079006772009029;0.95625;0.6634290174312722;0.49199740740740744;0.5178881987577639;0.051332712173461914
SVDD_RBF_0.01_scale_[3, 5, 7, 9, 11];0.5114709851551957;0.9475;0.6643295354951797;0.5238961111111111;0.5242236024844721;0.06562614440917969
SVDD_RBF_0.05_scale_[3, 5, 7, 9, 11];0.5161971830985915;0.91625;0.6603603603603603;0.5682217901234567;0.5316770186335403;0.15894699096679688
SVDD_RBF_0.1_scale_[3, 5, 7, 9, 11];0.5201465201465202;0.8875;0.6558891454965358;0.5957543209876544;0.5372670807453416;0.2859177589416504
SVDD_RBF_0.2_scale_[3, 5, 7, 9, 11];0.5265949149898612;0.844;0.6485448083757565;0.6034287037037036;0.5454658385093167;0.5292673110961914
SVDD_RBF_0.3_scale_[3, 5, 7, 9, 11];0.5361425145597808;0.7825;0.636308192722098;0.5941208024691358;0.555527950310559;0.7707030773162842
SVDD_RBF_0.4_scale_[3, 5, 7, 9, 11];0.5515413312389554;0.70225;0.6178378972836248;0.5901685802469137;0.5683229813664596;1.0103027820587158
SVDD_RBF_0.5_scale_[3, 5, 7, 9, 11];0.5604395604395604;0.59925;0.5791953606379123;0.5914958641975309;0.5673291925465839;1.193113088607788
SVDD_RBF_0.6_scale_[3, 5, 7, 9, 11];0.5709561034275406;0.47475;0.5184275184275184;0.5889423456790124;0.5617391304347826;1.396324634552002
SVDD_RBF_0.7_scale_[3, 5, 7, 9, 11];0.5826415094339623;0.386;0.4643609022556391;0.5837248765432098;0.5575155279503106;1.6043155193328857
SVDD_RBF_0.8_scale_[3, 5, 7, 9, 11];0.5833333333333334;0.28525;0.3831430490261921;0.5750264197530864;0.5436024844720497;1.8152945041656494
SVDD_RBF_0.9_scale_[3, 5, 7, 9, 11];0.5911552346570397;0.16375;0.25646045418950664;0.5611645061728394;0.5281987577639752;1.9895133972167969
