Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_Linear_scale_;0.5914813822662738;0.552;0.5710590973748869;0.6213978395061728;0.5879503105590063;2.5376832485198975
SVDD_Linear_auto_;0.5914813822662738;0.552;0.5710590973748869;0.6213978395061728;0.5879503105590063;2.5921669006347656
SVDD_Sigmoid_scale_;0.5898051774753136;0.5525;0.5705434361688396;0.621838950617284;0.5867080745341615;3.3017516136169434
SVDD_Sigmoid_auto_;0.612390350877193;0.5585;0.584205020920502;0.6328982716049384;0.6049689440993788;3.302537679672241
SVDD_Poly_2_scale_;0.6408056695262961;0.4295;0.5142942673252507;0.6024169753086419;0.5968944099378882;2.722508192062378
SVDD_Poly_2_auto_;0.6408056695262961;0.4295;0.5142942673252507;0.6024169753086419;0.5968944099378882;2.589948892593384
SVDD_Poly_3_scale_;0.5839230116048684;0.51575;0.5477233505907342;0.6083882716049382;0.5767701863354038;2.7425615787506104
SVDD_Poly_3_auto_;0.5839230116048684;0.51575;0.5477233505907342;0.6083882716049382;0.5767701863354038;3.135831356048584
SVDD_Poly_4_scale_;0.6666666666666666;0.4345;0.5261086726199485;0.6079627160493827;0.611055900621118;2.742366313934326
SVDD_Poly_4_auto_;0.6666666666666666;0.4345;0.5261086726199485;0.6079619135802469;0.611055900621118;3.058560371398926
SVDD_RBF_0.001_scale_;0.5017667844522968;0.994;0.666890305266689;0.42138135802469134;0.506583850931677;0.2547600269317627
SVDD_RBF_0.01_scale_;0.5085183273102736;0.985;0.6707524685052775;0.4451598765432099;0.5195031055900621;0.4136958122253418
SVDD_RBF_0.05_scale_;0.5122311827956989;0.95275;0.6662587412587412;0.49021185185185184;0.5257142857142857;1.1747615337371826
SVDD_RBF_0.1_scale_;0.5441265060240964;0.90325;0.6791353383458647;0.6225405555555555;0.5759006211180124;1.755673885345459
SVDD_RBF_0.2_scale_;0.5619533527696793;0.771;0.6500843170320404;0.629701049382716;0.5875776397515527;3.410889148712158
SVDD_RBF_0.3_scale_;0.5652733118971061;0.65925;0.6086555106751299;0.6415893827160495;0.5787577639751553;5.175306797027588
SVDD_RBF_0.4_scale_;0.6173741917346078;0.549;0.5811830091306074;0.6550869135802471;0.606832298136646;6.8984763622283936
SVDD_RBF_0.5_scale_;0.6545787545787546;0.44675;0.5310549777117384;0.6599421604938271;0.6079503105590062;8.57504391670227
SVDD_RBF_0.6_scale_;0.67007299270073;0.34425;0.45483071841453343;0.6726881481481481;0.5899378881987578;9.919381380081177
SVDD_RBF_0.7_scale_;0.6933570581257414;0.29225;0.4111853675694689;0.6802512962962963;0.5840993788819876;11.420824766159058
SVDD_RBF_0.8_scale_;0.7392857142857143;0.207;0.32343750000000004;0.6909456790123457;0.5696894409937888;13.396416425704956
SVDD_RBF_0.9_scale_;0.8799212598425197;0.11175;0.19831410825199647;0.6907622222222223;0.551055900621118;15.086647033691406
SVDD_RBF_0.001_auto_;0.5179686415984459;0.93325;0.6661907736236281;0.5747354320987654;0.53527950310559;0.6621885299682617
SVDD_RBF_0.01_auto_;0.5223082336382829;0.92775;0.6683475911751464;0.5775624074074074;0.5424844720496894;0.8728487491607666
SVDD_RBF_0.05_auto_;0.5669742284441617;0.891;0.6929807505347073;0.6190301234567901;0.6077018633540373;1.4442644119262695
SVDD_RBF_0.1_auto_;0.5820741758241759;0.8475;0.6901465798045604;0.6275718518518519;0.6218633540372671;2.203538656234741
SVDD_RBF_0.2_auto_;0.6162338989981598;0.7535;0.6779889776178157;0.6586121604938272;0.6443478260869565;3.6332945823669434
SVDD_RBF_0.3_auto_;0.6412213740458015;0.672;0.6562500000000001;0.6747341975308642;0.6501863354037267;5.459965944290161
SVDD_RBF_0.4_auto_;0.6456200227531286;0.5675;0.6040447046301224;0.6689529629629629;0.6303105590062111;7.848268985748291
SVDD_RBF_0.5_auto_;0.6466244725738397;0.45975;0.5374050263004091;0.6741745061728396;0.6067080745341615;8.445358037948608
SVDD_RBF_0.6_auto_;0.681237721021611;0.34675;0.4595758780649437;0.6803798148148148;0.5947826086956521;11.491045475006104
SVDD_RBF_0.7_auto_;0.8183194549583649;0.27025;0.40631460251832363;0.6837753086419752;0.6075776397515528;12.705279111862183
SVDD_RBF_0.8_auto_;0.7953861584754263;0.19825;0.31739043426055635;0.6883072222222223;0.5762732919254658;15.330872058868408
SVDD_RBF_0.9_auto_;0.5934959349593496;0.073;0.13000890471950133;0.6924505555555556;0.5145341614906832;16.60123324394226
