Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_Linear_scale_[3, 6, 9, 12];0.6255954271197205;0.4925;0.5511260316128129;0.6336632716049382;0.6013664596273292;0.40165066719055176
SVDD_Linear_auto_[3, 6, 9, 12];0.6255954271197205;0.4925;0.5511260316128129;0.6336632716049382;0.6013664596273292;0.40021538734436035
SVDD_Sigmoid_scale_[3, 6, 9, 12];0.6187997550520514;0.50525;0.5562895678502615;0.6769987654320988;0.5995031055900621;1.1366145610809326
SVDD_Sigmoid_auto_[3, 6, 9, 12];0.6255954271197205;0.4925;0.5511260316128129;0.6336633333333335;0.6013664596273292;0.9198276996612549
SVDD_Poly_2_scale_[3, 6, 9, 12];0.4566895368782161;0.5325;0.4916897506925208;0.4282584567901234;0.4529192546583851;0.44241952896118164
SVDD_Poly_2_auto_[3, 6, 9, 12];0.44838104176442983;0.47775;0.4625998547567175;0.42844660493827164;0.4484472049689441;0.442014217376709
SVDD_Poly_3_scale_[3, 6, 9, 12];0.640457469621158;0.448;0.5272138864371875;0.6240282098765432;0.6007453416149068;0.4450232982635498
SVDD_Poly_3_auto_[3, 6, 9, 12];0.49936557169039897;0.8855;0.638600919498783;0.6219596296296297;0.5019875776397515;0.42429041862487793
SVDD_Poly_4_scale_[3, 6, 9, 12];0.43454294901240237;0.473;0.4529566674646876;0.4244738888888889;0.4322981366459627;0.4623086452484131
SVDD_Poly_4_auto_[3, 6, 9, 12];0.4912699409621907;0.97775;0.6539586991054259;0.41006753086419756;0.4858385093167702;0.42957305908203125
SVDD_RBF_0.001_scale_[3, 6, 9, 12];0.5173948220064725;0.95925;0.6722144358794674;0.5604562962962962;0.5351552795031056;0.056940555572509766
SVDD_RBF_0.01_scale_[3, 6, 9, 12];0.5179681167252094;0.9585;0.6725135941062971;0.5640416049382716;0.5361490683229814;0.06739926338195801
SVDD_RBF_0.05_scale_[3, 6, 9, 12];0.5243561030235162;0.9365;0.6722900215362527;0.5861807407407408;0.5463354037267081;0.1358025074005127
SVDD_RBF_0.1_scale_[3, 6, 9, 12];0.5448650278992611;0.90325;0.6797102812529394;0.6207681481481482;0.5770186335403726;0.23252630233764648
SVDD_RBF_0.2_scale_[3, 6, 9, 12];0.5579017931959108;0.83225;0.6680044145680746;0.6221535185185184;0.588944099378882;0.43346738815307617
SVDD_RBF_0.3_scale_[3, 6, 9, 12];0.56219557886849;0.75025;0.6427500535446562;0.6122511111111111;0.5855900621118012;0.6347353458404541
SVDD_RBF_0.4_scale_[3, 6, 9, 12];0.5654775094172391;0.638;0.5995536238693764;0.6097720370370371;0.5765217391304348;1.6049089431762695
SVDD_RBF_0.5_scale_[3, 6, 9, 12];0.5742841707185306;0.5315;0.5520643988574396;0.603206049382716;0.5714285714285714;1.9474506378173828
SVDD_RBF_0.6_scale_[3, 6, 9, 12];0.5870147255689424;0.4385;0.5020034344590726;0.5916806172839506;0.5677018633540373;2.5843803882598877
SVDD_RBF_0.7_scale_[3, 6, 9, 12];0.6023725834797891;0.34275;0.4369024856596558;0.5783493209876543;0.5609937888198758;2.910370111465454
SVDD_RBF_0.8_scale_[3, 6, 9, 12];0.6314363143631436;0.233;0.3403944485025566;0.5696685185185186;0.551304347826087;3.5473926067352295
SVDD_RBF_0.9_scale_[3, 6, 9, 12];0.6514522821576764;0.11775;0.19944950243489307;0.5620535185185185;0.5303105590062112;3.4303483963012695
SVDD_RBF_0.001_auto_[3, 6, 9, 12];0.5048963499936411;0.9925;0.6693079322262497;0.6881146913580247;0.5126708074534162;0.07516074180603027
SVDD_RBF_0.01_auto_[3, 6, 9, 12];0.5151435688999607;0.98225;0.6758407155758149;0.6913733950617285;0.5318012422360249;0.08225703239440918
SVDD_RBF_0.05_auto_[3, 6, 9, 12];0.546235619630115;0.93775;0.6903469218735622;0.6865038271604939;0.5819875776397515;0.25048065185546875
SVDD_RBF_0.1_auto_[3, 6, 9, 12];0.5582630427991253;0.8935;0.687175543164776;0.6767932716049382;0.5957763975155279;0.5447111129760742
SVDD_RBF_0.2_auto_[3, 6, 9, 12];0.5860014892032762;0.787;0.6717883055911226;0.6632061111111112;0.617888198757764;0.8601982593536377
SVDD_RBF_0.3_auto_[3, 6, 9, 12];0.5937918713711479;0.66475;0.6272705826845953;0.6505021604938271;0.6074534161490683;1.152590036392212
SVDD_RBF_0.4_auto_[3, 6, 9, 12];0.6112406112406112;0.59;0.6004325149472077;0.6416916666666667;0.6098136645962733;1.6363589763641357
SVDD_RBF_0.5_auto_[3, 6, 9, 12];0.6263492063492063;0.49325;0.5518881118881119;0.633255;0.6019875776397515;2.22987961769104
SVDD_RBF_0.6_auto_[3, 6, 9, 12];0.6379942927028129;0.39125;0.4850457151712382;0.6257016049382716;0.5872049689440993;2.806142568588257
SVDD_RBF_0.7_auto_[3, 6, 9, 12];0.656392694063927;0.2875;0.3998609179415855;0.6198592592592593;0.5711801242236025;4.241832494735718
SVDD_RBF_0.8_auto_[3, 6, 9, 12];0.6666666666666666;0.1885;0.2938998245955954;0.6155099382716049;0.5499378881987578;4.59748911857605
SVDD_RBF_0.9_auto_[3, 6, 9, 12];0.6655231560891939;0.097;0.16932140519310496;0.6126845679012345;0.5270807453416149;5.025106191635132
SVDD_Linear_scale_[2, 4, 6, 8, 10];0.5644484412470024;0.47075;0.5133587786259544;0.5433546296296297;0.5565217391304348;0.8386034965515137
SVDD_Linear_auto_[2, 4, 6, 8, 10];0.5644484412470024;0.47075;0.5133587786259544;0.5433546296296297;0.5565217391304348;0.6834633350372314
SVDD_Sigmoid_scale_[2, 4, 6, 8, 10];0.5543927292756816;0.50325;0.5275848512645787;0.5811224691358025;0.5521739130434783;1.4751105308532715
SVDD_Sigmoid_auto_[2, 4, 6, 8, 10];0.5644484412470024;0.47075;0.5133587786259544;0.5433558024691358;0.5565217391304348;1.9276833534240723
SVDD_Poly_2_scale_[2, 4, 6, 8, 10];0.49122807017543857;0.49;0.490613266583229;0.4726245679012346;0.49440993788819876;0.8161442279815674
SVDD_Poly_2_auto_[2, 4, 6, 8, 10];0.49929278642149927;0.44125;0.4684804246848042;0.4725306172839506;0.5024844720496895;0.8562130928039551
SVDD_Poly_3_scale_[2, 4, 6, 8, 10];0.5567144719687093;0.427;0.48330503678551223;0.5437212345679012;0.5463354037267081;0.9283430576324463
SVDD_Poly_3_auto_[2, 4, 6, 8, 10];0.4725304103729448;0.88375;0.6158000174200853;0.5416496913580247;0.4520496894409938;0.9371001720428467
SVDD_Poly_4_scale_[2, 4, 6, 8, 10];0.4961178045515395;0.46325;0.4791208791208791;0.4728819135802469;0.4995031055900621;0.9758522510528564
SVDD_Poly_4_auto_[2, 4, 6, 8, 10];0.4903047091412742;0.9735;0.652152068330263;0.4576521604938272;0.48397515527950313;0.8766181468963623
SVDD_RBF_0.001_scale_[2, 4, 6, 8, 10];0.4931859089740293;0.959;0.6513839361521481;0.5042414814814815;0.4899378881987578;0.12229466438293457
SVDD_RBF_0.01_scale_[2, 4, 6, 8, 10];0.493298969072165;0.957;0.6510204081632655;0.5060974691358024;0.4901863354037267;0.13256335258483887
