Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_Linear_scale_5_[384, 128];0.4636519748139668;0.405;0.4323458767013611;0.4940764814814815;0.4715527950310559;1.0159950256347656
SVDD_Linear_auto_5_[384, 128];0.4636519748139668;0.405;0.4323458767013611;0.4940764814814815;0.4715527950310559;0.9367568492889404
SVDD_Sigmoid_scale_5_[384, 128];0.45623039635015683;0.4;0.4262688157719462;0.48386327160493836;0.4649689440993789;1.532407283782959
SVDD_Sigmoid_auto_5_[384, 128];0.4230667020993888;0.398;0.4101507149297952;0.4341657407407407;0.43118012422360247;1.699993371963501
SVDD_Poly_2_scale_5_[384, 128];0.5063853414769572;0.684;0.5819419334255025;0.5853238888888889;0.5116770186335404;0.8791699409484863
SVDD_Poly_2_auto_5_[384, 128];0.5063853414769572;0.684;0.5819419334255025;0.5853238888888889;0.5116770186335404;0.9579031467437744
SVDD_Poly_3_scale_5_[384, 128];0.4722838137472284;0.426;0.44794952681388006;0.5045575308641975;0.4782608695652174;0.8977675437927246
SVDD_Poly_3_auto_5_[384, 128];0.4722838137472284;0.426;0.44794952681388006;0.5045575308641975;0.4782608695652174;0.9773416519165039
SVDD_Poly_4_scale_5_[384, 128];0.4932468935710427;0.68475;0.5734324296032659;0.5611340740740741;0.4937888198757764;0.9659185409545898
SVDD_Poly_4_auto_5_[384, 128];0.4932468935710427;0.68475;0.5734324296032659;0.5611340740740741;0.4937888198757764;0.978743314743042
SVDD_RBF_0.001_scale_5_[384, 128];0.4916379420400868;0.96275;0.6508915744105467;0.4623411111111111;0.48683229813664597;0.05627083778381348
SVDD_RBF_0.01_scale_5_[384, 128];0.5001273560876209;0.98175;0.6626729665879175;0.442733950617284;0.5033540372670807;0.09148192405700684
SVDD_RBF_0.05_scale_5_[384, 128];0.5139118457300276;0.93275;0.6626998223801066;0.52174512345679;0.5281987577639752;0.2962367534637451
SVDD_RBF_0.1_scale_5_[384, 128];0.5179567892402347;0.905;0.6588406588406589;0.5094851851851853;0.5342857142857143;0.5476865768432617
SVDD_RBF_0.2_scale_5_[384, 128];0.5199048374306107;0.8195;0.6361960213488598;0.49013098765432095;0.5342857142857143;1.0509743690490723
SVDD_RBF_0.3_scale_5_[384, 128];0.5145561707447759;0.72025;0.6002708615480778;0.4845759259259259;0.5233540372670807;1.5958406925201416
SVDD_RBF_0.4_scale_5_[384, 128];0.511435417120453;0.587;0.5466185543010126;0.5059961728395062;0.5161490683229814;2.04795241355896
SVDD_RBF_0.5_scale_5_[384, 128];0.505656108597285;0.447;0.4745222929936306;0.5107619135802469;0.5080745341614907;2.528040885925293
SVDD_RBF_0.6_scale_5_[384, 128];0.5025526483726867;0.39375;0.4415475189234651;0.511962962962963;0.5050931677018633;3.0034210681915283
SVDD_RBF_0.7_scale_5_[384, 128];0.4966517857142857;0.33375;0.3992224880382775;0.5090171604938272;0.5008695652173913;3.530784845352173
SVDD_RBF_0.8_scale_5_[384, 128];0.4799749687108886;0.19175;0.2740264380135763;0.5001186419753086;0.4951552795031056;4.980442523956299
SVDD_RBF_0.9_scale_5_[384, 128];0.5635294117647058;0.11975;0.19752577319587628;0.4993196296296296;0.5165217391304348;6.372429847717285
SVDD_RBF_0.001_auto_5_[384, 128];0.44726322263222634;0.72725;0.5538842345773038;0.4177911111111111;0.41788819875776395;0.4278905391693115
SVDD_RBF_0.01_auto_5_[384, 128];0.4475652572126393;0.733;0.5557767036299877;0.4104063580246913;0.4177639751552795;0.44104886054992676
SVDD_RBF_0.05_auto_5_[384, 128];0.45261984392419174;0.7105;0.5529720789960112;0.4325448148148148;0.4291925465838509;0.5541610717773438
SVDD_RBF_0.1_auto_5_[384, 128];0.4851964830432442;0.676;0.5649221769560222;0.5109806172839506;0.4826086956521739;0.8963942527770996
SVDD_RBF_0.2_auto_5_[384, 128];0.5285097192224621;0.61175;0.5670915411355736;0.5594873456790124;0.5359006211180124;1.4908747673034668
